student_id,weakness_1,weakness_2,weakness_3,strength_1,strength_2,strength_3,actual_score,predicted_score
0,economics_composite (-0.47),management_composite (-0.10),market_mechanisms (-0.04),economic_skills_composite (+0.16),eco_avg_grade (+0.15),eco_grade_t3 (+0.12),12.7,13.735726502883086
1,management_composite (-0.09),unemployment (-0.06),control (-0.04),economics_composite (+2.17),economic_skills_composite (+1.07),practice_intensity (+0.11),18.6,17.289428400372003
2,management_composite (-0.11),economics_composite (-0.11),market_mechanisms (-0.07),economic_skills_composite (+0.37),calculation_accuracy (+0.13),eco_grade_t3 (+0.09),15.1,13.862295294617663
3,eco_avg_grade (-0.10),bac_exams_practiced (-0.06),practice_intensity (-0.04),economics_composite (+2.11),eco_grade_t2 (+0.11),management_composite (+0.07),16.9,16.237633020900667
4,economics_composite (-0.35),eco_avg_grade (-0.28),eco_grade_t3 (-0.21),management_composite (+0.40),economic_skills_composite (+0.21),study_quality (+0.08),13.6,13.403226452185583
5,economic_skills_composite (-1.24),economics_composite (-0.96),management_composite (-0.17),study_quality (+0.10),eco_grade_t3 (+0.05),study_hours (+0.04),11.9,11.039650238095234
6,economic_skills_composite (-0.86),economics_composite (-0.21),eco_avg_grade (-0.21),practice_intensity (+0.12),study_quality (+0.10),study_hours (+0.07),12.4,12.444875223730524
7,economics_composite (-0.11),situation_analysis (-0.11),bac_exams_practiced (-0.10),eco_avg_grade (+0.05),structured_answer (+0.04),eco_grade_t1 (+0.03),13.1,13.240991094806791
8,eco_avg_grade (-0.06),situation_analysis (-0.05),eco_grade_t2 (-0.04),economics_composite (+1.70),management_composite (+0.30),control (+0.13),17.6,16.024311414565823
9,economics_composite (-3.27),economic_skills_composite (-1.55),eco_avg_grade (-0.38),psychological_composite (+0.07),inflation (+0.04),money_banking (+0.03),6.6,7.33471388888889
10,economics_composite (-2.18),eco_avg_grade (-0.28),economic_skills_composite (-0.21),practice_intensity (+0.21),financing (+0.08),graph_interpretation (+0.08),12.4,11.001651656676653
11,economics_composite (-0.12),practice_intensity (-0.07),exam_stress (-0.03),economic_skills_composite (+0.29),eco_grade_t3 (+0.07),leadership_motivation (+0.07),13.3,14.041497933890776
12,economics_composite (-1.00),eco_avg_grade (-0.19),graph_interpretation (-0.14),economic_skills_composite (+0.24),practice_intensity (+0.09),calculation_accuracy (+0.06),10.2,12.534771103896107
13,eco_grade_t3 (-0.15),eco_avg_grade (-0.14),graph_interpretation (-0.13),economic_skills_composite (+0.45),management_composite (+0.31),control (+0.14),13.1,14.33695969340093
14,economics_composite (-0.46),management_composite (-0.15),market_mechanisms (-0.07),eco_avg_grade (+0.16),practice_intensity (+0.10),economic_skills_composite (+0.09),13.5,13.397376622605526
15,leadership_motivation (-0.09),financing (-0.07),situation_analysis (-0.02),economics_composite (+2.46),economic_skills_composite (+1.02),eco_avg_grade (+0.55),19.8,18.684273809523813
16,economics_composite (-0.62),situation_analysis (-0.19),eco_avg_grade (-0.17),economic_skills_composite (+0.68),management_composite (+0.23),leadership_motivation (+0.09),15.6,13.921580257461834
17,practice_intensity (-0.19),inflation (-0.08),control (-0.04),economics_composite (+2.56),economic_skills_composite (+1.27),situation_analysis (+0.13),14.8,17.712016666666663
18,economic_skills_composite (-0.47),eco_grade_t3 (-0.17),economics_composite (-0.16),management_composite (+0.20),study_quality (+0.12),practice_intensity (+0.09),11.8,12.974949742414447
19,eco_avg_grade (-0.36),practice_intensity (-0.14),eco_grade_t2 (-0.12),economics_composite (+2.29),economic_skills_composite (+0.62),situation_analysis (+0.12),13.8,15.98092326007325
20,economics_composite (-1.10),management_composite (-0.05),exam_stress (-0.04),economic_skills_composite (+0.37),eco_avg_grade (+0.36),practice_intensity (+0.20),12.8,13.837145292353282
21,economics_composite (-2.10),management_composite (-0.06),financing (-0.05),economic_skills_composite (+0.70),practice_intensity (+0.13),graph_interpretation (+0.11),12.7,12.735129761904766
22,economics_composite (-0.21),management_composite (-0.08),psychological_composite (-0.08),economic_skills_composite (+0.31),eco_grade_t3 (+0.19),eco_avg_grade (+0.14),14.9,13.934435059915138
23,practice_intensity (-0.11),money_banking (-0.08),psychological_composite (-0.05),economics_composite (+2.55),economic_skills_composite (+1.07),eco_avg_grade (+0.35),16.9,17.897571428571432
24,eco_avg_grade (-0.18),economics_composite (-0.15),management_composite (-0.15),economic_skills_composite (+0.46),calculation_accuracy (+0.10),study_quality (+0.08),13.3,13.451098655827602
25,economic_skills_composite (-0.53),management_composite (-0.14),structured_answer (-0.03),eco_avg_grade (+0.21),eco_grade_t3 (+0.14),eco_grade_t2 (+0.07),13.1,13.802736094102675
26,economics_composite (-0.28),eco_avg_grade (-0.28),eco_grade_t3 (-0.16),economic_skills_composite (+0.26),practice_intensity (+0.08),situation_analysis (+0.06),12.1,13.055931692921877
27,economics_composite (-0.51),eco_avg_grade (-0.12),situation_analysis (-0.11),management_composite (+0.34),practice_intensity (+0.15),control (+0.10),13.4,13.197703300294476
28,eco_avg_grade (-0.22),eco_grade_t3 (-0.12),management_composite (-0.12),economic_skills_composite (+0.41),economics_composite (+0.26),control (+0.11),14.0,14.30756040267381
29,economics_composite (-3.32),economic_skills_composite (-1.11),practice_intensity (-0.26),eco_grade_t3 (+0.12),structured_answer (+0.05),psychological_composite (+0.03),6.6,8.319482142857145
30,eco_avg_grade (-0.33),economic_skills_composite (-0.24),eco_grade_t1 (-0.14),economics_composite (+1.95),bac_exams_practiced (+0.08),practice_intensity (+0.06),15.8,15.00417756132757
31,economics_composite (-0.44),management_composite (-0.09),graph_interpretation (-0.05),eco_avg_grade (+0.54),economic_skills_composite (+0.48),eco_grade_t3 (+0.32),13.6,14.78034153218642
32,practice_intensity (-0.36),economics_composite (-0.32),eco_avg_grade (-0.19),economic_skills_composite (+0.69),situation_analysis (+0.06),psychological_composite (+0.04),13.5,13.164291136112933
33,unemployment (-0.06),psychological_composite (-0.06),analysis_confidence (-0.04),economics_composite (+2.50),economic_skills_composite (+1.31),eco_avg_grade (+0.34),19.3,18.29224523809524
34,economic_skills_composite (-0.85),economics_composite (-0.32),management_composite (-0.06),eco_avg_grade (+0.14),eco_grade_t2 (+0.09),eco_grade_t1 (+0.06),15.2,12.733265731997157
35,unemployment (-0.07),inflation (-0.06),consistency (-0.02),economics_composite (+1.97),economic_skills_composite (+1.25),management_composite (+0.33),17.2,17.836436666666664
36,economics_composite (-2.03),eco_avg_grade (-0.26),management_composite (-0.15),economic_skills_composite (+0.42),graph_interpretation (+0.08),financing (+0.07),11.7,11.592247443626277
37,management_composite (-0.19),communication (-0.07),calculation_accuracy (-0.04),economic_skills_composite (+1.15),eco_avg_grade (+0.45),economics_composite (+0.35),15.7,15.947511354939936
38,economics_composite (-1.94),financing (-0.05),eco_anxiety (-0.04),economic_skills_composite (+0.74),practice_intensity (+0.23),bac_exams_practiced (+0.07),14.6,13.021367460838169
39,communication (-0.04),eco_grade_t2 (-0.03),psychological_composite (-0.03),economics_composite (+2.42),economic_skills_composite (+0.82),management_composite (+0.19),18.9,17.652493416232883
40,situation_exercises (-0.03),eco_grade_t1 (-0.03),exam_stress (-0.00),economics_composite (+2.54),economic_skills_composite (+1.17),situation_analysis (+0.15),18.4,18.303135714285716
41,economics_composite (-0.49),management_composite (-0.16),control (-0.07),economic_skills_composite (+0.50),eco_avg_grade (+0.19),practice_intensity (+0.17),14.2,14.152493920926297
42,economics_composite (-2.23),economic_skills_composite (-0.28),management_composite (-0.07),graph_interpretation (+0.10),practice_intensity (+0.06),psychological_composite (+0.05),10.1,11.419944372294374
43,eco_anxiety (-0.09),calculation_accuracy (-0.05),study_hours (-0.04),economics_composite (+2.46),economic_skills_composite (+1.08),eco_avg_grade (+0.51),19.4,18.69438571428572
44,economic_skills_composite (-0.77),eco_avg_grade (-0.24),eco_grade_t3 (-0.15),practice_intensity (+0.07),economics_composite (+0.05),money_banking (+0.03),11.0,11.946594831802186
45,money_banking (-0.09),leadership_motivation (-0.08),unemployment (-0.04),economics_composite (+1.93),economic_skills_composite (+1.15),management_composite (+0.13),17.1,16.94867596638656
46,eco_avg_grade (-0.35),eco_grade_t1 (-0.13),eco_grade_t3 (-0.07),economics_composite (+1.90),economic_skills_composite (+0.85),leadership_motivation (+0.08),14.4,16.123064468864456
47,eco_avg_grade (-0.19),leadership_motivation (-0.05),unemployment (-0.04),economics_composite (+2.47),economic_skills_composite (+1.22),calculation_accuracy (+0.09),18.1,17.512695238095244
48,economics_composite (-0.47),management_composite (-0.12),situation_analysis (-0.09),eco_avg_grade (+0.39),eco_grade_t3 (+0.25),economic_skills_composite (+0.24),14.7,14.257723092677715
49,eco_anxiety (-0.08),unemployment (-0.06),psychological_composite (-0.06),economics_composite (+2.48),economic_skills_composite (+1.20),eco_avg_grade (+0.38),19.3,18.13841190476191
50,management_composite (-0.14),market_mechanisms (-0.09),study_quality (-0.07),economic_skills_composite (+0.26),economics_composite (+0.24),eco_avg_grade (+0.12),15.3,13.841785540203686
51,eco_avg_grade (-0.19),management_composite (-0.14),situation_analysis (-0.12),economics_composite (+0.23),study_quality (+0.05),graph_interpretation (+0.03),13.8,13.433586639874028
52,economics_composite (-1.03),eco_avg_grade (-0.25),eco_grade_t3 (-0.18),economic_skills_composite (+0.23),study_quality (+0.06),money_banking (+0.05),10.5,12.052056062895188
53,eco_avg_grade (-0.17),management_composite (-0.13),study_quality (-0.07),economic_skills_composite (+0.42),situation_analysis (+0.07),market_mechanisms (+0.06),14.3,13.622983295600832
54,unemployment (-0.05),eco_grade_t1 (-0.03),financing (-0.03),economics_composite (+2.19),economic_skills_composite (+1.16),management_composite (+0.27),18.9,17.955880952380955
55,eco_avg_grade (-0.27),eco_grade_t3 (-0.21),economics_composite (-0.14),economic_skills_composite (+0.44),management_composite (+0.14),study_quality (+0.09),12.7,13.808401083895758
56,management_composite (-0.13),psychological_composite (-0.07),graph_interpretation (-0.05),economics_composite (+0.22),economic_skills_composite (+0.16),practice_intensity (+0.13),15.1,14.280763923777004
57,financing (-0.10),management_composite (-0.07),communication (-0.07),economics_composite (+2.50),economic_skills_composite (+0.72),eco_avg_grade (+0.52),18.1,17.95813333333333
58,analysis_confidence (-0.05),control (-0.05),bac_exams_practiced (-0.05),economics_composite (+2.11),practice_intensity (+0.18),eco_grade_t2 (+0.15),17.4,16.379801610644257
59,economic_skills_composite (-0.71),economics_composite (-0.31),eco_avg_grade (-0.08),management_composite (+0.28),practice_intensity (+0.11),eco_grade_t3 (+0.05),12.5,12.902897266214172
60,economics_composite (-1.01),eco_avg_grade (-0.15),eco_grade_t3 (-0.08),economic_skills_composite (+0.24),situation_analysis (+0.11),study_quality (+0.07),14.4,12.893807568953331
61,management_composite (-0.12),control (-0.06),structured_answer (-0.04),economics_composite (+1.97),eco_avg_grade (+0.22),practice_intensity (+0.15),15.3,16.469219047619053
62,economics_composite (-3.28),economic_skills_composite (-1.67),eco_avg_grade (-0.33),bac_exams_practiced (+0.05),psychological_composite (+0.04),inflation (+0.04),6.8,7.3569988095238115
63,management_composite (-0.08),situation_analysis (-0.07),control (-0.07),economics_composite (+2.11),practice_intensity (+0.18),eco_grade_t2 (+0.13),14.1,16.033818124685766
