student_id,weakness_1,weakness_2,weakness_3,strength_1,strength_2,strength_3,actual_score,predicted_score
0,overall_level (-0.87),calculation_accuracy (-0.24),financial_logic (-0.13),avg_grade (+0.33),grade_t2 (+0.18),grade_t3 (+0.14),12.7,13.073630068353559
1,practice_intensity (-0.08),execution_speed (-0.07),gestion_imbalance (-0.04),overall_level (+0.81),calculation_accuracy (+0.67),avg_grade (+0.22),18.6,15.648410759837391
2,calculation_accuracy (-0.51),grade_trend (-0.11),study_hours (-0.08),overall_level (+0.31),financial_logic (+0.13),grade_t3 (+0.10),15.1,13.652948140261653
3,practice_intensity (-0.14),gestion_imbalance (-0.12),consistency (-0.02),overall_level (+2.04),financial_logic (+0.79),calculation_accuracy (+0.28),16.9,17.281436904761907
4,avg_grade (-0.55),calculation_accuracy (-0.44),grade_t3 (-0.24),overall_level (+0.21),financial_logic (+0.15),execution_speed (+0.11),13.6,12.781508770455265
5,overall_level (-1.50),calculation_accuracy (-0.54),avg_grade (-0.31),financial_logic (+0.53),grade_t3 (+0.17),execution_speed (+0.04),11.9,11.237750216450205
6,overall_level (-0.82),table_handling (-0.57),avg_grade (-0.39),financial_logic (+0.28),calculation_accuracy (+0.27),financial_block (+0.04),12.4,12.180301070691433
7,calculation_accuracy (-0.37),practice_intensity (-0.11),study_hours (-0.10),overall_level (+0.31),financial_logic (+0.10),execution_speed (+0.10),13.1,13.650133099084483
8,mock_exams (-0.03),weekly_exercises (-0.02),grade_trend (-0.02),overall_level (+1.88),table_handling (+0.12),execution_speed (+0.09),17.6,16.18872340225564
9,overall_level (-0.99),avg_grade (-0.80),financial_logic (-0.54),cost_block (+0.07),practice_intensity (+0.06),weekly_exercises (+0.03),6.6,9.503777777777776
10,overall_level (-1.36),calculation_accuracy (-0.67),avg_grade (-0.54),financial_logic (+0.27),table_handling (+0.20),study_hours (+0.08),12.4,11.147905003380664
11,overall_level (-1.28),study_quality (-0.04),consistency (-0.03),financial_logic (+0.32),calculation_accuracy (+0.31),practice_intensity (+0.17),13.3,13.697962080233797
12,overall_level (-2.33),avg_grade (-0.30),financial_logic (-0.27),table_handling (+0.27),grade_t3 (+0.16),confidence (+0.11),10.2,11.314412745098043
13,overall_level (-0.70),avg_grade (-0.27),grade_t3 (-0.13),financial_logic (+0.42),calculation_accuracy (+0.39),mock_exams (+0.10),13.1,13.675805518931709
14,calculation_accuracy (-0.44),financial_logic (-0.39),execution_speed (-0.17),overall_level (+0.39),avg_grade (+0.38),grade_t2 (+0.09),13.5,13.513883825363282
15,practice_intensity (-0.13),mock_exams (-0.06),confidence (-0.02),overall_level (+2.28),avg_grade (+0.97),financial_logic (+0.45),19.8,18.44544642857144
16,overall_level (-1.18),avg_grade (-0.36),calculation_accuracy (-0.25),financial_logic (+0.57),study_quality (+0.07),weekly_exercises (+0.06),15.6,12.616930304493124
