student_id,weakness_1,weakness_2,weakness_3,strength_1,strength_2,strength_3,actual_score,predicted_score
0,methodology_composite (-0.69),memory_composite (-0.27),historical_memory (-0.10),knowledge_composite (+0.10),avg_grade (+0.09),grade_t3 (+0.09),12.7,13.10322904489044
1,map_stats_method (-0.05),essay_method (-0.03),stress_level (-0.03),knowledge_composite (+0.92),historical_memory (+0.21),memory_composite (+0.14),18.6,15.55869598579783
2,memory_composite (-0.24),historical_memory (-0.16),geography_part_structure (-0.08),methodology_composite (+0.24),knowledge_composite (+0.22),study_quality (+0.06),15.1,13.902424737740075
3,history_part_structure (-0.13),knowledge_composite (-0.12),avg_grade (-0.11),methodology_composite (+2.38),memory_composite (+0.55),dates_memory (+0.12),16.9,16.91007473068406
4,memory_composite (-0.24),avg_grade (-0.17),historical_memory (-0.16),methodology_composite (+1.15),memorization_frequency (+0.07),geography_knowledge (+0.04),13.6,13.97382002801292
5,knowledge_composite (-1.09),methodology_composite (-0.87),memory_composite (-0.43),history_part_structure (+0.08),document_analysis_method (+0.08),grade_t3 (+0.04),11.9,10.9867869047619
6,methodology_composite (-0.83),knowledge_composite (-0.42),avg_grade (-0.15),history_part_structure (+0.17),geography_part_structure (+0.08),historical_memory (+0.07),12.4,12.333847194227346
7,knowledge_composite (-0.50),history_part_structure (-0.24),document_analysis_method (-0.22),memory_composite (+0.16),geography_knowledge (+0.08),geography_part_structure (+0.06),13.1,12.914616591186588
8,knowledge_composite (-0.15),avg_grade (-0.11),decolonization_knowledge (-0.08),methodology_composite (+2.09),history_part_structure (+0.14),memory_composite (+0.12),17.6,15.839571505688525
9,methodology_composite (-3.43),knowledge_composite (-0.93),memory_composite (-0.33),geography_knowledge (+0.36),interest_in_subject (+0.05),cold_war_knowledge (+0.01),6.6,8.261428571428574
10,methodology_composite (-1.25),memory_composite (-0.23),grade_t1 (-0.17),history_part_structure (+0.19),essay_method (+0.12),geography_part_structure (+0.09),12.4,12.014707702681065
11,methodology_composite (-0.14),geography_part_structure (-0.06),essay_method (-0.05),knowledge_composite (+0.21),historical_memory (+0.09),development_knowledge (+0.08),13.3,14.189673375338963
12,methodology_composite (-0.98),historical_memory (-0.10),avg_grade (-0.08),knowledge_composite (+0.29),history_part_structure (+0.13),study_quality (+0.06),10.2,13.044355215937777
13,history_part_structure (-0.16),avg_grade (-0.16),knowledge_composite (-0.11),methodology_composite (+1.55),decolonization_knowledge (+0.10),historical_memory (+0.10),13.1,14.961613662515642
14,methodology_composite (-1.22),memory_composite (-0.33),historical_memory (-0.15),history_part_structure (+0.18),avg_grade (+0.12),essay_method (+0.11),13.5,12.43298774465449
15,cold_war_knowledge (-0.10),decolonization_knowledge (-0.05),figures_memory (-0.04),methodology_composite (+2.28),memory_composite (+0.40),avg_grade (+0.33),19.8,17.57503996598639
16,methodology_composite (-0.86),history_part_structure (-0.14),document_analysis_method (-0.13),knowledge_composite (+0.59),geography_part_structure (+0.14),memory_composite (+0.13),15.6,13.256900443416237
17,history_part_structure (-0.15),consistency (-0.07),geography_knowledge (-0.05),methodology_composite (+1.71),knowledge_composite (+1.30),memory_composite (+0.23),14.8,17.36142534310075
18,knowledge_composite (-0.74),memory_composite (-0.42),avg_grade (-0.15),methodology_composite (+2.26),history_part_structure (+0.12),essay_method (+0.06),11.8,14.325103174603173
19,avg_grade (-0.22),knowledge_composite (-0.20),geography_part_structure (-0.16),methodology_composite (+2.17),memory_composite (+0.20),historical_memory (+0.14),13.8,15.7585004032258
20,methodology_composite (-0.87),memory_composite (-0.28),dates_memory (-0.07),knowledge_composite (+0.32),avg_grade (+0.23),grade_t3 (+0.14),12.8,13.634029327505425
21,methodology_composite (-1.21),geography_part_structure (-0.21),avg_grade (-0.10),knowledge_composite (+0.32),historical_memory (+0.25),history_part_structure (+0.19),12.7,12.930165597486534
22,study_quality (-0.10),memory_composite (-0.09),document_analysis_method (-0.09),grade_t3 (+0.11),history_part_structure (+0.08),geography_part_structure (+0.05),14.9,13.471349213193148
23,history_part_structure (-0.08),dates_memory (-0.03),map_stats_method (-0.02),knowledge_composite (+0.84),memory_composite (+0.49),historical_memory (+0.27),16.9,16.184328102453104
24,methodology_composite (-0.73),memory_composite (-0.16),history_part_structure (-0.14),knowledge_composite (+0.47),document_analysis_method (+0.05),essay_method (+0.05),13.3,12.92349671929378
25,knowledge_composite (-0.55),methodology_composite (-0.19),development_knowledge (-0.06),historical_memory (+0.18),avg_grade (+0.15),history_part_structure (+0.13),13.1,13.820418706920318
26,memory_composite (-0.25),avg_grade (-0.12),grade_t2 (-0.10),knowledge_composite (+0.15),history_part_structure (+0.15),development_knowledge (+0.08),12.1,13.377743385710499
27,memory_composite (-0.36),knowledge_composite (-0.24),historical_memory (-0.17),methodology_composite (+1.36),history_part_structure (+0.19),geography_part_structure (+0.10),13.4,14.191755942477998
28,avg_grade (-0.18),grade_t3 (-0.08),grade_t2 (-0.06),historical_memory (+0.29),knowledge_composite (+0.12),memory_composite (+0.10),14.0,14.245350500167197
29,methodology_composite (-3.61),knowledge_composite (-0.75),memory_composite (-0.37),geography_knowledge (+0.14),grade_t3 (+0.11),confidence_level (+0.04),6.6,8.420355555555556
30,avg_grade (-0.18),grade_t1 (-0.08),knowledge_composite (-0.06),methodology_composite (+1.34),memory_composite (+0.57),history_part_structure (+0.17),15.8,15.572042594909146
