student_id,weakness_1,weakness_2,weakness_3,strength_1,strength_2,strength_3,actual_score,predicted_score
0,functions_analysis (-0.94),prob_seq_composite (-0.10),integral_calculus (-0.07),psychological_composite (+0.21),psychological_health (+0.17),grade_t2 (+0.12),12.7,13.229303912549177
1,avg_grade (-0.11),algebra_composite (-0.09),algebra_block (-0.08),functions_analysis (+1.27),grade_t1 (+0.19),analysis_block (+0.13),18.6,15.797308297713409
2,functions_analysis (-1.38),analysis_block (-0.29),analysis_composite (-0.20),psychological_composite (+0.37),psychological_health (+0.29),multi_step_solving (+0.11),15.1,13.24796618367013
3,confidence (-0.17),avg_grade (-0.13),practice_intensity_v2 (-0.06),functions_analysis (+1.04),algebra_composite (+0.52),algebra_block (+0.50),16.9,16.908877394827385
4,functions_analysis (-1.04),avg_grade (-0.25),grade_t3 (-0.16),algebra_composite (+0.07),proof_reasoning (+0.07),probability_block (+0.07),13.6,12.08047524624498
5,functions_analysis (-1.52),algebra_block (-0.24),prob_seq_composite (-0.22),psychological_health (+0.28),psychological_composite (+0.27),grade_t3 (+0.08),11.9,11.186162502409866
6,avg_grade (-0.45),grade_t3 (-0.16),grade_t1 (-0.14),functions_analysis (+0.62),psychological_composite (+0.12),psychological_health (+0.10),12.4,13.119481701945569
7,functions_analysis (-0.97),psychological_health (-0.36),psychological_composite (-0.27),prob_seq_composite (+0.14),probability_block (+0.13),proof_reasoning (+0.08),13.1,12.366058320600963
8,avg_grade (-0.16),algebra_composite (-0.08),algebra_block (-0.07),functions_analysis (+0.63),integral_calculus (+0.22),psychological_health (+0.19),17.6,15.530445547737475
9,functions_analysis (-2.04),psychological_health (-0.49),psychological_composite (-0.48),sequences_skill (+0.16),correction_quality (+0.12),multi_step_solving (+0.03),6.6,7.798500000000005
10,functions_analysis (-1.28),avg_grade (-0.31),grade_t1 (-0.27),psychological_composite (+0.26),psychological_health (+0.17),confidence (+0.10),12.4,12.034716273799544
11,avg_grade (-0.19),study_quality (-0.14),exam_time_management (-0.06),functions_analysis (+0.64),psychological_composite (+0.11),grade_t1 (+0.10),13.3,14.499592436481851
12,functions_analysis (-1.33),analysis_block (-0.42),analysis_composite (-0.39),algebra_block (+0.10),algebra_composite (+0.10),confidence (+0.07),10.2,11.414764300903778
13,avg_grade (-0.45),confidence (-0.18),psychological_health (-0.17),functions_analysis (+0.75),algebra_block (+0.31),algebra_composite (+0.28),13.1,13.782229610050752
14,functions_analysis (-1.35),proof_reasoning (-0.19),algebra_skill (-0.17),psychological_composite (+0.22),psychological_health (+0.19),grade_t1 (+0.12),13.5,12.751648074585978
15,multi_step_solving (-0.11),exercises_per_week (-0.03),complex_numbers (-0.03),functions_analysis (+1.50),avg_grade (+1.11),algebra_block (+0.30),19.8,18.71310476190476
16,functions_analysis (-0.63),avg_grade (-0.23),integral_calculus (-0.07),algebra_skill (+0.10),grade_t1 (+0.09),multi_step_solving (+0.08),15.6,13.285955215466794
17,confidence (-0.16),avg_grade (-0.08),practice_intensity_v2 (-0.07),functions_analysis (+1.16),algebra_block (+0.52),algebra_composite (+0.41),14.8,15.919188351041317
18,functions_analysis (-1.29),analysis_block (-0.39),prob_seq_composite (-0.29),psychological_health (+0.14),confidence (+0.08),psychological_composite (+0.08),11.8,10.955914661654136
19,avg_grade (-0.45),grade_t1 (-0.13),multi_step_solving (-0.10),functions_analysis (+1.12),algebra_composite (+0.44),algebra_block (+0.41),13.8,15.551042177851382
20,algebra_block (-0.14),integral_calculus (-0.12),algebra_skill (-0.11),avg_grade (+0.82),functions_analysis (+0.52),grade_t1 (+0.16),12.8,15.427068589253885
21,avg_grade (-0.46),algebra_block (-0.11),integral_calculus (-0.10),functions_analysis (+0.95),psychological_composite (+0.14),confidence (+0.12),12.7,14.23831996413526
22,avg_grade (-0.14),integral_calculus (-0.12),algebra_block (-0.11),functions_analysis (+0.50),psychological_composite (+0.14),psychological_health (+0.12),14.9,14.161137336022836
23,algebra_block (-0.14),algebra_composite (-0.13),integral_calculus (-0.10),functions_analysis (+1.44),avg_grade (+1.03),analysis_block (+0.16),16.9,16.890430515683153
24,functions_analysis (-1.07),avg_grade (-0.29),practice_intensity (-0.18),psychological_composite (+0.19),psychological_health (+0.14),exam_time_management (+0.12),13.3,12.46305932819617
25,multi_step_solving (-0.12),exam_time_management (-0.08),practice_intensity (-0.08),functions_analysis (+1.09),avg_grade (+0.25),analysis_block (+0.14),13.1,15.084021157824395
26,functions_analysis (-0.66),avg_grade (-0.30),psychological_health (-0.16),confidence (+0.08),algebra_block (+0.06),algebra_composite (+0.05),12.1,11.794610968953075
27,functions_analysis (-1.38),algebra_block (-0.31),algebra_composite (-0.25),confidence (+0.13),grade_t3 (+0.11),probability_block (+0.08),13.4,11.61889682539682
28,avg_grade (-0.50),algebra_block (-0.17),grade_t3 (-0.17),functions_analysis (+0.88),analysis_block (+0.15),analysis_composite (+0.12),14.0,13.862859460045792
29,functions_analysis (-2.17),psychological_health (-0.61),psychological_composite (-0.56),grade_t3 (+0.10),correction_quality (+0.10),grade_trend (+0.04),6.6,7.803900000000007
30,avg_grade (-0.47),grade_t1 (-0.16),grade_t2 (-0.07),functions_analysis (+0.92),integral_calculus (+0.21),algebra_skill (+0.15),15.8,14.876278833349515
31,functions_analysis (-0.88),analysis_block (-0.09),integral_calculus (-0.07),avg_grade (+0.67),psychological_composite (+0.18),grade_t3 (+0.17),13.6,14.314856375203737
32,functions_analysis (-1.15),avg_grade (-0.23),probability_skill (-0.14),integral_calculus (+0.16),algebra_composite (+0.08),psychological_composite (+0.07),13.5,12.584292727623508
33,algebra_block (-0.10),algebra_composite (-0.09),past_exams_solved (-0.05),avg_grade (+0.74),functions_analysis (+0.72),analysis_block (+0.15),19.3,16.365571693121705
34,confidence (-0.14),avg_grade (-0.11),algebra_block (-0.10),functions_analysis (+0.45),psychological_composite (+0.15),grade_t1 (+0.14),15.2,13.960125163888407
35,study_quality (-0.11),avg_grade (-0.07),prob_seq_composite (-0.05),functions_analysis (+0.67),algebra_block (+0.52),algebra_composite (+0.39),17.2,16.272609855948655
36,avg_grade (-0.46),grade_t3 (-0.24),algebra_skill (-0.24),functions_analysis (+0.75),practice_intensity (+0.06),analysis_block (+0.05),11.7,12.286555871916852
37,proof_reasoning (-0.14),algebra_composite (-0.10),algebra_block (-0.08),functions_analysis (+1.36),avg_grade (+1.03),grade_t1 (+0.13),15.7,16.328547534165182
38,avg_grade (-0.23),algebra_block (-0.13),algebra_composite (-0.12),functions_analysis (+0.75),confidence (+0.14),psychological_composite (+0.14),14.6,14.564191224737778
39,avg_grade (-0.11),proof_reasoning (-0.05),study_quality (-0.04),functions_analysis (+1.59),algebra_composite (+0.49),algebra_block (+0.43),18.9,17.791728057889824
40,avg_grade (-0.17),exercises_per_week (-0.03),algebra_skill (-0.03),functions_analysis (+1.13),algebra_block (+0.51),algebra_composite (+0.49),18.4,17.3028146114225
41,algebra_skill (-0.20),grade_t1 (-0.13),avg_grade (-0.12),functions_analysis (+0.47),psychological_health (+0.18),psychological_composite (+0.15),14.2,14.166527540056427
42,avg_grade (-0.30),algebra_block (-0.27),algebra_skill (-0.21),analysis_composite (+0.19),analysis_block (+0.15),grade_t3 (+0.07),10.1,12.509656094081352
43,psychological_health (-0.14),psychological_composite (-0.12),math_anxiety (-0.08),functions_analysis (+1.64),avg_grade (+1.07),algebra_block (+0.35),19.4,18.089126107226104
44,functions_analysis (-1.75),psychological_composite (-0.51),psychological_health (-0.50),algebra_block (+0.11),algebra_composite (+0.10),algebra_skill (+0.05),11.0,9.192504761904763
45,avg_grade (-0.18),multi_step_solving (-0.09),algebra_composite (-0.07),functions_analysis (+0.67),analysis_block (+0.13),psychological_health (+0.11),17.1,15.090003446787764
46,functions_analysis (-0.80),avg_grade (-0.27),grade_t1 (-0.15),algebra_block (+0.39),algebra_composite (+0.34),algebra_skill (+0.17),14.4,14.044683939306308
47,avg_grade (-0.28),confidence (-0.17),consistency (-0.06),functions_analysis (+1.50),algebra_block (+0.40),algebra_composite (+0.39),18.1,16.512321708683483
48,functions_analysis (-1.68),algebra_block (-0.28),algebra_composite (-0.25),avg_grade (+0.51),psychological_composite (+0.20),psychological_health (+0.19),14.7,13.163387120320694
49,prob_seq_composite (-0.10),confidence (-0.08),probability_block (-0.06),functions_analysis (+1.63),avg_grade (+0.88),algebra_block (+0.38),19.3,18.126138888888892
50,functions_analysis (-0.12),confidence (-0.08),study_quality (-0.07),prob_seq_composite (+0.15),psychological_health (+0.12),psychological_composite (+0.11),15.3,13.878166620594468
51,functions_analysis (-1.49),avg_grade (-0.17),proof_reasoning (-0.16),psychological_health (+0.22),psychological_composite (+0.20),grade_t1 (+0.11),13.8,13.173570948788056
52,functions_analysis (-1.75),probability_block (-0.31),avg_grade (-0.25),psychological_composite (+0.27),algebra_block (+0.25),algebra_composite (+0.21),10.5,11.53678265107212
53,avg_grade (-0.41),grade_t1 (-0.18),confidence (-0.16),functions_analysis (+0.62),algebra_composite (+0.32),algebra_block (+0.25),14.3,14.28810058552558
54,avg_grade (-0.19),confidence (-0.12),grade_t1 (-0.09),functions_analysis (+1.17),algebra_composite (+0.26),algebra_block (+0.22),18.9,16.33567259600289
55,functions_analysis (-1.00),avg_grade (-0.28),grade_t3 (-0.20),psychological_health (+0.12),psychological_composite (+0.10),multi_step_solving (+0.08),12.7,12.742077294927293
56,algebra_skill (-0.18),avg_grade (-0.13),integral_calculus (-0.12),functions_analysis (+1.03),grade_t2 (+0.12),psychological_health (+0.12),15.1,14.71051112849761
57,proof_reasoning (-0.10),math_anxiety (-0.06),complex_numbers (-0.03),functions_analysis (+1.71),avg_grade (+0.83),algebra_composite (+0.35),18.1,18.550840367965364
58,multi_step_solving (-0.06),consistency (-0.05),avg_grade (-0.05),functions_analysis (+0.80),algebra_composite (+0.35),algebra_block (+0.31),17.4,16.14489027920961
59,functions_analysis (-1.14),avg_grade (-0.23),probability_skill (-0.08),psychological_composite (+0.22),psychological_health (+0.16),grade_t3 (+0.08),12.5,13.379650631911941
60,avg_grade (-0.35),algebra_skill (-0.23),grade_t1 (-0.11),functions_analysis (+0.58),psychological_composite (+0.14),psychological_health (+0.11),14.4,13.562117385268445
61,practice_intensity_v2 (-0.06),exam_time_management (-0.05),analysis_composite (-0.04),functions_analysis (+0.65),algebra_block (+0.57),algebra_composite (+0.43),15.3,16.52034482191249
62,functions_analysis (-1.99),analysis_composite (-0.46),analysis_block (-0.46),confidence (+0.10),sequences_skill (+0.10),probability_block (+0.06),6.8,8.373916666666672
63,psychological_health (-0.23),psychological_composite (-0.12),multi_step_solving (-0.09),functions_analysis (+0.98),exam_time_management (+0.09),grade_t1 (+0.08),14.1,14.55413344746286
64,functions_analysis (-0.72),algebra_block (-0.28),algebra_skill (-0.27),psychological_health (+0.12),prob_seq_composite (+0.08),sequences_skill (+0.08),13.5,11.67914771062271
65,avg_grade (-0.26),grade_t1 (-0.14),practice_intensity_v2 (-0.04),functions_analysis (+0.57),analysis_block (+0.14),psychological_composite (+0.11),15.8,14.309597379708627
66,algebra_block (-0.12),integral_calculus (-0.11),algebra_composite (-0.10),functions_analysis (+1.30),avg_grade (+1.07),psychological_health (+0.21),17.1,17.319472222222224
67,functions_analysis (-2.00),psychological_health (-0.50),psychological_composite (-0.46),geometry_block (+0.03),grade_trend (+0.02),imbalance_score (+0.01),6.7,7.923000000000003
68,functions_analysis (-1.16),avg_grade (-0.30),confidence (-0.10),psychological_composite (+0.28),psychological_health (+0.15),algebra_skill (+0.08),12.9,12.727406749677497
69,functions_analysis (-0.97),avg_grade (-0.21),proof_reasoning (-0.10),psychological_composite (+0.21),psychological_health (+0.16),math_anxiety (+0.08),11.8,12.966720311891077
70,functions_analysis (-1.05),avg_grade (-0.27),analysis_block (-0.24),multi_step_solving (+0.20),practice_intensity (+0.10),consistency (+0.08),10.8,11.274189610389605
71,functions_analysis (-0.65),psychological_health (-0.30),psychological_composite (-0.29),grade_t3 (+0.13),algebra_skill (+0.07),algebra_block (+0.06),13.4,12.134943708579003
72,avg_grade (-0.41),grade_t3 (-0.22),algebra_block (-0.12),psychological_health (+0.12),psychological_composite (+0.12),prob_seq_composite (+0.11),14.3,13.577845131667848
73,confidence (-0.17),avg_grade (-0.14),integral_calculus (-0.12),functions_analysis (+1.02),algebra_composite (+0.31),algebra_block (+0.30),18.0,16.02346418365318
74,psychological_health (-0.19),psychological_composite (-0.15),functions_analysis (-0.13),integral_calculus (+0.13),grade_t1 (+0.09),multi_step_solving (+0.06),12.9,12.967392512389576
75,avg_grade (-0.21),grade_t1 (-0.10),algebra_block (-0.04),functions_analysis (+0.38),analysis_block (+0.13),analysis_composite (+0.09),14.8,14.23923314376785
76,avg_grade (-0.45),grade_t1 (-0.13),psychological_health (-0.12),functions_analysis (+0.78),confidence (+0.12),multi_step_solving (+0.08),12.6,13.511437220644405
77,functions_analysis (-1.14),algebra_skill (-0.17),proof_reasoning (-0.15),grade_t1 (+0.10),grade_t2 (+0.10),analysis_block (+0.09),11.3,12.899420016043631
78,avg_grade (-0.30),algebra_skill (-0.17),grade_t1 (-0.10),functions_analysis (+1.08),psychological_health (+0.22),psychological_composite (+0.17),14.8,14.72117597226088
79,algebra_block (-0.19),analysis_block (-0.15),prob_seq_composite (-0.15),functions_analysis (+1.50),avg_grade (+0.99),psychological_health (+0.26),17.7,16.27782531194297
80,functions_analysis (-0.98),confidence (-0.07),multi_step_solving (-0.07),psychological_composite (+0.24),psychological_health (+0.19),grade_t3 (+0.12),14.3,13.641919820909825
81,psychological_health (-0.22),psychological_composite (-0.14),avg_grade (-0.12),functions_analysis (+0.55),grade_t3 (+0.11),grade_t1 (+0.11),12.8,13.645902196609024
82,avg_grade (-0.40),algebra_composite (-0.07),algebra_block (-0.07),functions_analysis (+0.99),analysis_block (+0.11),psychological_composite (+0.11),14.6,15.005306365731414
83,functions_analysis (-0.94),avg_grade (-0.28),grade_t1 (-0.19),analysis_block (+0.17),analysis_composite (+0.16),probability_block (+0.09),13.8,13.371169649663443
84,avg_grade (-0.26),algebra_composite (-0.17),algebra_block (-0.12),functions_analysis (+0.73),integral_calculus (+0.19),psychological_health (+0.11),14.3,14.529845627498236
85,avg_grade (-0.17),proof_reasoning (-0.07),practice_intensity (-0.06),functions_analysis (+0.89),psychological_health (+0.20),psychological_composite (+0.16),16.3,15.422150326699887
86,avg_grade (-0.26),grade_t1 (-0.13),confidence (-0.06),functions_analysis (+0.60),integral_calculus (+0.12),analysis_block (+0.10),15.3,14.264745637184639
87,avg_grade (-0.22),algebra_skill (-0.17),algebra_composite (-0.09),functions_analysis (+0.95),confidence (+0.12),analysis_block (+0.11),13.0,14.250156751561429
88,functions_analysis (-1.05),probability_block (-0.03),integral_calculus (-0.03),psychological_composite (+0.26),psychological_health (+0.23),confidence (+0.10),13.0,13.537167760951139
89,avg_grade (-0.23),study_quality (-0.10),confidence (-0.09),functions_analysis (+0.61),multi_step_solving (+0.25),psychological_composite (+0.14),15.0,14.741738499606688
