student_id,weakness_1,weakness_2,weakness_3,strength_1,strength_2,strength_3,actual_score,predicted_score
0,essay_structure (-0.06),essays_written_week (-0.04),doctrines_chapter (-0.02),overall_philo (+3.73),ethics_chapter (+0.06),grade_t2 (+0.06),15.9,16.805865574930408
1,overall_philo (-1.09),logic_chapter (-0.15),ethics_chapter (-0.10),study_method (+0.04),doctrines_chapter (+0.02),grade_trend (+0.02),8.1,11.014341533751342
2,overall_philo (-0.63),ethics_chapter (-0.19),study_method (-0.06),grade_t2 (+0.11),avg_grade (+0.09),science_philosophy_chapter (+0.08),13.3,12.231006030563641
3,overall_philo (-1.30),practice_intensity (-0.22),ethics_chapter (-0.14),logic_chapter (+0.07),grade_t2 (+0.04),grade_t1 (+0.04),11.6,11.059165601922588
4,overall_philo (-3.16),logic_chapter (-0.10),avg_grade (-0.07),logical_reasoning (+0.04),philo_imbalance (+0.03),stress_level (+0.02),8.4,8.958662380357763
5,overall_philo (-1.05),logic_chapter (-0.11),past_exams (-0.05),ethics_chapter (+0.23),science_philosophy_chapter (+0.13),practice_intensity (+0.06),9.9,11.96837126517273
6,essay_structure (-0.16),past_exams (-0.07),science_philosophy_chapter (-0.03),overall_philo (+2.58),doctrines_chapter (+0.18),avg_grade (+0.16),15.2,16.153983333333333
7,essay_structure (-0.36),clarity_expression (-0.10),doctrines_chapter (-0.09),overall_philo (+3.56),logic_chapter (+0.31),avg_grade (+0.09),16.5,16.590649754688933
8,avg_grade (-0.20),ethics_chapter (-0.16),practice_intensity (-0.15),overall_philo (+0.87),use_of_examples (+0.06),argument_strength (+0.04),11.8,12.745985714285712
9,overall_philo (-3.04),ethics_chapter (-0.08),essay_structure (-0.05),logic_chapter (+0.20),dialectical_method (+0.18),grade_t2 (+0.15),9.4,10.159312834224597
10,overall_philo (-0.74),methodology_composite (-0.13),dialectical_method (-0.08),practice_intensity (+0.21),doctrines_chapter (+0.17),ethics_chapter (+0.17),13.0,12.481198580586078
11,dialectical_method (-0.06),essay_structure (-0.04),science_philosophy_chapter (-0.02),overall_philo (+3.65),avg_grade (+0.12),logic_chapter (+0.10),19.9,17.100880758384058
12,problem_chapter (-0.02),study_quality (-0.02),confidence (-0.01),overall_philo (+4.77),essay_structure (+0.34),logic_chapter (+0.11),18.9,18.77775714285716
13,overall_philo (-0.49),science_philosophy_chapter (-0.12),dialectical_method (-0.05),ethics_chapter (+0.23),logic_chapter (+0.08),avg_grade (+0.07),13.7,12.635659818442425
14,overall_philo (-1.12),science_philosophy_chapter (-0.21),essay_structure (-0.06),ethics_chapter (+0.12),logic_chapter (+0.09),doctrines_chapter (+0.05),13.7,11.770789885475724
15,overall_philo (-2.04),logic_chapter (-0.13),practice_intensity (-0.11),ethics_chapter (+0.10),science_philosophy_chapter (+0.05),doctrines_chapter (+0.05),9.4,10.268012342436975
16,overall_philo (-1.17),practice_intensity (-0.19),science_philosophy_chapter (-0.16),logic_chapter (+0.08),doctrines_chapter (+0.07),essay_structure (+0.06),9.8,10.982116666666666
17,overall_philo (-2.55),logic_chapter (-0.10),grade_t2 (-0.10),argumentative_method (+0.05),interest (+0.05),methodology_composite (+0.04),8.5,9.783607792207793
18,doctrines_chapter (-0.12),ethics_chapter (-0.12),past_exams (-0.08),overall_philo (+1.30),grade_t1 (+0.09),logic_chapter (+0.07),13.6,13.838887770562767
19,overall_philo (-0.71),ethics_chapter (-0.13),logic_chapter (-0.10),practice_intensity (+0.12),grade_t2 (+0.05),science_philosophy_chapter (+0.04),12.0,12.053751325897746
20,ethics_chapter (-0.10),text_analysis_method (-0.04),society_politics_chapter (-0.04),overall_philo (+0.19),practice_intensity (+0.16),grade_t2 (+0.08),16.0,13.457495590030884
21,overall_philo (-2.59),logic_chapter (-0.07),essay_structure (-0.06),methodology_composite (+0.06),interest (+0.06),grade_t2 (+0.06),12.1,10.30263347953216
22,avg_grade (-0.09),science_philosophy_chapter (-0.09),essay_structure (-0.07),overall_philo (+0.79),ethics_chapter (+0.17),practice_intensity (+0.16),13.9,13.611168487394957
23,avg_grade (-0.18),practice_intensity (-0.13),ethics_chapter (-0.12),overall_philo (+0.80),past_exams (+0.07),methodology_composite (+0.04),13.0,12.900159973463067
24,practice_intensity (-0.22),ethics_chapter (-0.14),avg_grade (-0.09),overall_philo (+0.23),problem_chapter (+0.16),essay_structure (+0.03),13.4,12.455472588522591
25,overall_philo (-1.18),science_philosophy_chapter (-0.09),practice_intensity (-0.06),ethics_chapter (+0.15),problem_chapter (+0.09),doctrines_chapter (+0.08),9.0,11.430562792973934
26,overall_philo (-1.02),methodology_composite (-0.12),logic_chapter (-0.08),science_philosophy_chapter (+0.13),use_of_examples (+0.04),doctrines_chapter (+0.03),14.2,11.62842221791281
27,overall_philo (-1.04),logic_chapter (-0.16),science_philosophy_chapter (-0.09),ethics_chapter (+0.17),study_method (+0.04),dialectical_method (+0.03),13.0,11.33249484616046
28,text_analysis_method (-0.10),dialectical_method (-0.08),thinking_composite (-0.07),overall_philo (+3.62),avg_grade (+0.11),logic_chapter (+0.08),17.4,16.720550430973628
29,argument_strength (-0.06),study_quality (-0.04),science_philosophy_chapter (-0.03),overall_philo (+0.90),ethics_chapter (+0.15),doctrines_chapter (+0.10),14.5,14.045886724386726
30,overall_philo (-0.97),science_philosophy_chapter (-0.20),methodology_composite (-0.17),ethics_chapter (+0.18),practice_intensity (+0.08),essays_written_week (+0.06),9.5,11.159066666666662
31,logic_chapter (-0.07),science_philosophy_chapter (-0.06),essay_structure (-0.06),overall_philo (+1.04),practice_intensity (+0.15),avg_grade (+0.15),15.3,14.001130952380942
32,overall_philo (-2.54),methodology_composite (-0.12),practice_intensity (-0.10),science_philosophy_chapter (+0.06),grade_t2 (+0.05),stress_level (+0.03),8.3,9.616016881766878
33,study_method (-0.05),essay_structure (-0.04),stress_level (-0.03),overall_philo (+3.64),avg_grade (+0.11),logic_chapter (+0.09),17.6,16.945698173642903
34,science_philosophy_chapter (-0.12),ethics_chapter (-0.09),methodology_composite (-0.06),overall_philo (+0.92),practice_intensity (+0.11),study_method (+0.04),12.6,13.331507975357974
35,past_exams (-0.10),essay_structure (-0.04),study_method (-0.03),overall_philo (+4.49),doctrines_chapter (+0.11),philo_imbalance (+0.07),16.9,17.573271632362125
36,overall_philo (-1.64),methodology_composite (-0.17),doctrines_chapter (-0.14),dialectical_method (+0.07),society_politics_chapter (+0.01),consistency (+0.01),8.9,10.214732059314958
37,ethics_chapter (-0.16),doctrines_chapter (-0.11),grade_t1 (-0.08),overall_philo (+0.89),science_philosophy_chapter (+0.13),problem_chapter (+0.07),15.9,13.304471920185076
38,overall_philo (-2.85),methodology_composite (-0.09),practice_intensity (-0.08),grade_t2 (+0.23),grade_t1 (+0.09),science_philosophy_chapter (+0.06),8.6,9.957666666666663
39,overall_philo (-2.68),methodology_composite (-0.13),essay_structure (-0.05),ethics_chapter (+0.07),grade_t2 (+0.07),doctrines_chapter (+0.05),11.4,10.1550648005148
40,ethics_chapter (-0.19),logic_chapter (-0.08),science_philosophy_chapter (-0.08),overall_philo (+0.88),doctrines_chapter (+0.14),grade_t3 (+0.08),12.0,13.655847619047615
41,overall_philo (-1.08),practice_intensity (-0.26),ethics_chapter (-0.09),logic_chapter (+0.06),doctrines_chapter (+0.05),text_analysis_method (+0.04),9.7,11.081161315562458
42,grade_t1 (-0.18),avg_grade (-0.16),grade_t2 (-0.11),overall_philo (+0.50),study_method (+0.09),logic_chapter (+0.06),12.6,12.609633333333333
43,logic_chapter (-0.07),past_exams (-0.07),essay_structure (-0.07),overall_philo (+1.50),doctrines_chapter (+0.21),grade_t3 (+0.15),12.7,14.63869999999999
44,text_analysis_method (-0.13),avg_grade (-0.12),methodology_composite (-0.09),overall_philo (+1.99),science_philosophy_chapter (+0.11),logic_chapter (+0.06),14.5,14.491475951284485
45,philo_imbalance (-0.09),dialectical_method (-0.05),essay_structure (-0.04),overall_philo (+4.25),avg_grade (+0.12),science_philosophy_chapter (+0.08),18.0,17.42087580926953
46,overall_philo (-1.83),methodology_composite (-0.14),doctrines_chapter (-0.14),grade_t3 (+0.04),use_of_examples (+0.02),problem_chapter (+0.02),9.2,10.036220328282827
47,study_method (-0.05),ethics_chapter (-0.04),doctrines_chapter (-0.04),overall_philo (+2.49),avg_grade (+0.09),grade_t3 (+0.07),16.5,15.913368935435182
48,avg_grade (-0.06),philo_imbalance (-0.04),problem_chapter (-0.03),overall_philo (+4.69),conceptual_understanding (+0.12),science_philosophy_chapter (+0.08),17.5,18.169139559386977
49,essay_structure (-0.14),science_philosophy_chapter (-0.11),avg_grade (-0.09),overall_philo (+2.18),practice_intensity (+0.15),past_exams (+0.08),13.6,14.966453870252558
50,overall_philo (-1.21),methodology_composite (-0.19),practice_intensity (-0.10),logic_chapter (+0.08),doctrines_chapter (+0.07),problem_chapter (+0.07),9.8,11.050109859943975
51,overall_philo (-1.13),logic_chapter (-0.06),study_method (-0.05),practice_intensity (+0.08),dialectical_method (+0.06),science_philosophy_chapter (+0.06),12.3,11.812284680441042
