student_id,weakness_1,weakness_2,weakness_3,strength_1,strength_2,strength_3,actual_score,predicted_score
0,chemistry_block (-0.94),mechanics_block (-0.17),mechanics (-0.13),phys_avg_grade (+0.64),phys_grade_t2 (+0.12),phys_grade_t3 (+0.12),12.7,13.36031604349862
1,chemistry_block (-0.20),problem_solving (-0.05),bac_exams_practiced (-0.05),phys_avg_grade (+0.47),mechanics (+0.29),mechanics_block (+0.23),18.6,15.43589988962897
2,chemistry_block (-0.25),mechanics_block (-0.19),mechanics (-0.19),phys_avg_grade (+0.32),problem_solving_composite (+0.17),phys_grade_t3 (+0.10),15.1,13.374016823892191
3,formula_mastery (-0.09),imbalance_score (-0.05),psychological_composite (-0.03),chemistry_block (+0.92),phys_avg_grade (+0.61),electricity (+0.47),16.9,16.770755748880752
4,phys_avg_grade (-0.80),phys_grade_t3 (-0.27),mechanics_block (-0.17),problem_solving_composite (+0.24),electricity_block (+0.18),electricity (+0.15),13.6,13.015242846914271
5,phys_avg_grade (-1.04),problem_solving_composite (-0.80),chemistry_block (-0.53),electricity_block (+0.20),phys_grade_t3 (+0.19),electricity (+0.16),11.9,10.786547060734962
6,phys_avg_grade (-0.91),chemistry_block (-0.30),chemistry_general (-0.23),problem_solving_composite (+0.24),electricity (+0.14),electricity_block (+0.14),12.4,12.69755440908254
7,mechanics (-0.18),chemistry_block (-0.17),mechanics_block (-0.16),phys_avg_grade (+0.16),electricity_block (+0.10),phys_grade_t3 (+0.10),13.1,13.390286643048205
8,formula_mastery (-0.09),psychological_composite (-0.08),psychological_health (-0.05),chemistry_block (+1.10),problem_solving_composite (+0.68),phys_avg_grade (+0.51),17.6,16.277142713722604
9,phys_avg_grade (-1.64),chemistry_block (-0.57),phys_grade_t3 (-0.44),physics_anxiety (+0.16),psychological_composite (+0.06),chemistry_esterification (+0.02),6.6,8.847765625
10,phys_avg_grade (-1.22),chemistry_block (-0.53),phys_grade_t3 (-0.40),problem_solving_composite (+0.16),electricity (+0.12),electricity_block (+0.08),12.4,11.148258819338336
11,chemistry_block (-0.41),nuclear_block (-0.04),nuclear (-0.04),problem_solving_composite (+0.26),phys_avg_grade (+0.21),mechanics (+0.12),13.3,14.495357755764752
12,phys_avg_grade (-0.83),mechanics_block (-0.22),mechanics (-0.20),problem_solving_composite (+0.12),phys_grade_t3 (+0.08),chemistry_general (+0.07),10.2,12.247613786485656
13,phys_avg_grade (-0.76),phys_grade_t3 (-0.24),physics_anxiety (-0.09),problem_solving_composite (+0.23),problem_solving (+0.23),electricity (+0.17),13.1,13.693702351853394
14,problem_solving_composite (-0.43),electricity_block (-0.30),electricity (-0.28),phys_avg_grade (+0.61),phys_grade_t2 (+0.11),phys_grade_t1 (+0.10),13.5,13.063433756988063
15,physics_anxiety (-0.10),psychological_health (-0.09),psychological_composite (-0.06),phys_avg_grade (+1.96),chemistry_block (+1.06),electricity (+0.29),19.8,17.984633333333335
16,phys_avg_grade (-0.94),chemistry_block (-0.42),mechanics (-0.20),problem_solving_composite (+0.30),electricity_block (+0.28),electricity (+0.21),15.6,12.910632966162186
17,chemistry_block (-0.21),problem_solving (-0.03),phys_grade_t2 (-0.03),phys_avg_grade (+0.64),electricity_block (+0.44),electricity (+0.35),14.8,16.335549034299035
18,phys_avg_grade (-0.78),chemistry_block (-0.39),phys_grade_t3 (-0.27),problem_solving_composite (+0.29),problem_solving (+0.21),electricity (+0.16),11.8,12.696836471320095
19,phys_avg_grade (-1.07),phys_grade_t2 (-0.11),phys_grade_t1 (-0.07),chemistry_block (+0.62),mechanics (+0.35),mechanics_block (+0.30),13.8,14.893137414916673
20,chemistry_block (-0.76),electricity_block (-0.25),electricity (-0.23),phys_avg_grade (+1.16),phys_grade_t3 (+0.16),phys_grade_t2 (+0.16),12.8,13.465312769230092
21,phys_avg_grade (-0.79),chemistry_block (-0.68),psychological_composite (-0.09),mechanics (+0.46),mechanics_block (+0.37),problem_solving_composite (+0.16),12.7,13.293587046360074
22,chemistry_block (-0.66),chemistry_acid_base (-0.10),formula_mastery (-0.09),phys_avg_grade (+0.41),phys_grade_t3 (+0.10),problem_solving_composite (+0.07),14.9,13.167970383089887
23,physics_anxiety (-0.08),psychological_composite (-0.03),bac_exams_practiced (-0.02),phys_avg_grade (+1.54),chemistry_block (+0.92),mechanics (+0.24),16.9,17.283860476469794
24,phys_avg_grade (-0.87),mechanics (-0.21),mechanics_block (-0.18),phys_grade_t3 (+0.12),problem_solving_composite (+0.12),formula_mastery (+0.07),13.3,12.0935530243393
25,problem_solving_composite (-0.55),chemistry_block (-0.20),problem_solving (-0.09),phys_avg_grade (+0.58),mechanics (+0.29),mechanics_block (+0.25),13.1,14.448293642734836
26,phys_avg_grade (-0.80),phys_grade_t3 (-0.27),chemistry_block (-0.14),problem_solving_composite (+0.33),problem_solving (+0.17),psychological_health (+0.09),12.1,13.133160650399436
27,electricity_block (-0.32),electricity (-0.31),phys_avg_grade (-0.30),problem_solving_composite (+0.42),problem_solving (+0.18),phys_grade_t3 (+0.17),13.4,13.053063752749415
28,phys_avg_grade (-0.73),phys_grade_t3 (-0.27),phys_grade_t2 (-0.07),mechanics_block (+0.29),mechanics (+0.29),problem_solving_composite (+0.24),14.0,13.99468586004639
29,phys_avg_grade (-1.48),chemistry_block (-1.22),problem_solving_composite (-0.89),phys_grade_t3 (+0.22),formula_mastery (+0.08),chemistry_esterification (+0.04),6.6,8.359340559440563
30,phys_avg_grade (-1.22),phys_grade_t1 (-0.09),phys_grade_t2 (-0.07),chemistry_block (+0.74),problem_solving_composite (+0.41),electricity (+0.23),15.8,14.783407408840725
31,chemistry_block (-0.74),mechanics_block (-0.16),mechanics (-0.14),phys_avg_grade (+1.44),phys_grade_t3 (+0.20),phys_grade_t2 (+0.17),13.6,14.395682915870037
32,phys_avg_grade (-0.93),mechanics (-0.27),mechanics_block (-0.23),chemistry_block (+0.58),chemistry_acid_base (+0.08),formula_mastery (+0.08),13.5,12.921456559198118
33,mechanics_block (-0.11),problem_solving (-0.11),mechanics (-0.06),phys_avg_grade (+1.69),chemistry_block (+0.74),phys_grade_t3 (+0.18),19.3,16.71803015873016
34,chemistry_block (-0.52),formula_mastery (-0.12),psychological_composite (-0.08),phys_avg_grade (+0.52),phys_grade_t2 (+0.19),problem_solving_composite (+0.11),15.2,13.791203545186379
35,chemistry_block (-0.32),mechanics_block (-0.07),mechanics (-0.06),phys_avg_grade (+0.68),electricity_block (+0.51),electricity (+0.41),17.2,16.024711904761908
36,phys_avg_grade (-1.29),chemistry_block (-1.20),problem_solving_composite (-0.84),mechanics (+0.23),mechanics_block (+0.23),imbalance_score (+0.15),11.7,9.942676923076922
37,chemistry_block (-0.42),electricity (-0.14),electricity_block (-0.14),phys_avg_grade (+1.29),mechanics (+0.29),mechanics_block (+0.21),15.7,15.404680978260878
38,chemistry_block (-0.45),phys_grade_t2 (-0.08),electricity_block (-0.07),phys_avg_grade (+0.27),mechanics (+0.18),phys_grade_t3 (+0.12),14.6,13.742583822031618
