student_id,weakness_1,weakness_2,weakness_3,strength_1,strength_2,strength_3,actual_score,predicted_score
0,scientific_skills_composite (-1.94),protein_block (-0.30),protein_enzymes (-0.17),svt_avg_grade (+0.39),svt_grade_t3 (+0.24),svt_grade_t2 (+0.17),14.4,12.59995569291819
1,scientific_skills_composite (-1.19),neuroscience (-0.05),neuro_block (-0.03),psychological_health (+0.23),molecular_biology (+0.22),svt_grade_t3 (+0.18),16.9,14.08236652072288
2,psychological_health (-0.19),energy_block (-0.14),svt_avg_grade (-0.11),scientific_skills_composite (+0.56),immunology (+0.06),stream_encoded (+0.04),13.5,13.564576155252665
3,immunology (-0.18),immune_block (-0.12),energy_block (-0.07),scientific_skills_composite (+0.61),practice_intensity (+0.29),svt_avg_grade (+0.27),14.3,14.886517830474784
4,molecular_block (-0.19),molecular_biology (-0.16),psychological_health (-0.07),scientific_skills_composite (+1.04),svt_avg_grade (+0.56),energy_block (+0.42),15.4,17.056704761904754
5,energy_block (-0.18),practice_intensity (-0.16),immunology (-0.16),scientific_skills_composite (+0.51),scientific_writing_confidence (+0.10),svt_grade_t3 (+0.04),13.4,13.140562875319512
6,svt_avg_grade (-0.18),svt_grade_t3 (-0.12),svt_grade_t1 (-0.09),scientific_skills_composite (+0.83),energy_block (+0.39),immunology (+0.34),18.7,15.675587179487177
7,scientific_skills_composite (-2.42),energy_block (-0.65),svt_grade_t3 (-0.25),molecular_biology (+0.14),molecular_block (+0.09),document_analysis (+0.03),6.7,9.512545658263301
8,scientific_skills_composite (-1.59),svt_grade_t2 (-0.16),psychological_health (-0.13),energy_block (+0.33),molecular_block (+0.13),molecular_biology (+0.12),14.8,12.733739313829549
9,scientific_skills_composite (-2.20),energy_block (-0.48),energy_photosynthesis (-0.13),svt_avg_grade (+0.29),svt_grade_t2 (+0.11),molecular_biology (+0.09),10.0,10.653288244843393
10,psychological_health (-0.23),svt_avg_grade (-0.11),neuroscience (-0.07),scientific_skills_composite (+0.67),energy_block (+0.28),immunology (+0.24),13.9,14.917980702385844
11,scientific_skills_composite (-1.86),energy_block (-0.42),molecular_block (-0.23),svt_avg_grade (+0.54),svt_grade_t3 (+0.49),svt_grade_t2 (+0.10),7.1,11.237917063492059
12,immunology (-0.30),immune_block (-0.19),psychological_health (-0.18),scientific_skills_composite (+0.54),energy_block (+0.36),svt_grade_t3 (+0.06),13.3,13.616006328356066
13,energy_block (-0.15),practice_intensity (-0.14),immune_block (-0.07),scientific_skills_composite (+1.39),psychological_health (+0.34),svt_avg_grade (+0.29),15.4,15.902544685047895
14,scientific_skills_composite (-1.81),energy_block (-0.35),immunology (-0.12),svt_avg_grade (+0.27),molecular_biology (+0.24),svt_grade_t3 (+0.23),12.9,12.035291269841268
15,psychological_health (-0.15),neuro_block (-0.11),neuroscience (-0.11),scientific_skills_composite (+1.23),immunology (+0.20),svt_avg_grade (+0.20),17.2,15.547412644882002
16,energy_block (-0.30),protein_block (-0.10),energy_respiration (-0.09),scientific_skills_composite (+0.53),psychological_health (+0.20),molecular_biology (+0.06),12.8,13.80719941554154
17,energy_respiration (-0.10),energy_block (-0.07),geology_block (-0.04),scientific_skills_composite (+0.58),svt_avg_grade (+0.27),immunology (+0.23),16.3,15.657641990164679
18,immunology (-0.25),svt_avg_grade (-0.16),psychological_health (-0.15),scientific_skills_composite (+0.65),practice_intensity (+0.20),document_confidence (+0.05),13.5,13.473677427511705
19,scientific_skills_composite (-2.30),svt_avg_grade (-0.29),molecular_biology (-0.26),energy_block (+0.27),energy_respiration (+0.08),neuroscience (+0.06),11.6,9.683189324116743
20,scientific_skills_composite (-2.70),svt_avg_grade (-0.73),svt_grade_t3 (-0.33),energy_block (+0.12),energy_respiration (+0.11),svt_anxiety (+0.10),7.6,8.776190476190482
21,practice_intensity (-0.17),psychological_health (-0.11),geology_block (-0.06),scientific_skills_composite (+1.91),svt_avg_grade (+0.39),energy_block (+0.30),17.3,16.558576984126976
22,practice_intensity (-0.19),immunology (-0.19),immune_block (-0.16),scientific_skills_composite (+0.47),svt_avg_grade (+0.36),svt_grade_t3 (+0.29),13.6,14.081463396758554
23,scientific_skills_composite (-2.17),svt_trend (-0.11),geology_block (-0.02),svt_avg_grade (+0.36),energy_block (+0.31),psychological_health (+0.19),15.5,13.167255446308072
24,energy_block (-0.26),immunology (-0.24),immune_block (-0.17),scientific_skills_composite (+0.66),svt_grade_t3 (+0.11),scientific_writing_confidence (+0.07),12.9,13.232768251332555
25,immunology (-0.25),immune_block (-0.20),svt_grade_t2 (-0.13),scientific_skills_composite (+0.70),energy_block (+0.35),protein_block (+0.13),14.7,14.477662031024531
26,practice_intensity (-0.04),svt_trend (-0.02),immune_block (-0.01),scientific_skills_composite (+0.88),energy_block (+0.52),svt_avg_grade (+0.33),17.8,16.94253027260321
27,scientific_skills_composite (-2.34),energy_block (-0.35),molecular_biology (-0.19),svt_avg_grade (+0.47),svt_grade_t3 (+0.38),scientific_writing (+0.03),6.8,10.45817777777777
28,scientific_skills_composite (-2.69),energy_block (-0.59),svt_avg_grade (-0.32),scientific_writing (+0.05),hypothesis_formulation (+0.03),molecular_block (+0.03),6.5,8.617704761904763
29,scientific_skills_composite (-1.69),molecular_biology (-0.13),molecular_block (-0.12),svt_avg_grade (+0.45),svt_grade_t3 (+0.26),svt_grade_t2 (+0.12),14.8,12.801069710844708
30,psychological_health (-0.20),practice_intensity (-0.14),energy_block (-0.12),scientific_skills_composite (+0.57),svt_avg_grade (+0.21),protein_block (+0.15),14.6,14.26807852964208
31,svt_avg_grade (-0.10),svt_grade_t2 (-0.06),svt_grade_t1 (-0.06),scientific_skills_composite (+0.56),psychological_health (+0.14),practice_intensity (+0.12),15.2,14.502904513707394
32,energy_block (-0.26),energy_respiration (-0.10),psychological_health (-0.09),scientific_skills_composite (+1.85),practice_intensity (+0.18),immunology (+0.17),18.2,16.40871382725434
33,immunology (-0.26),immune_block (-0.18),practice_intensity (-0.07),scientific_skills_composite (+0.47),svt_avg_grade (+0.24),svt_grade_t3 (+0.10),14.6,14.222136133959875
34,scientific_skills_composite (-1.39),energy_block (-0.42),immunology (-0.18),svt_avg_grade (+0.28),svt_grade_t3 (+0.20),molecular_biology (+0.13),11.5,12.089743350248785
35,svt_trend (-0.08),hypothesis_formulation (-0.02),stream_encoded (-0.01),scientific_skills_composite (+1.73),svt_avg_grade (+0.42),energy_block (+0.37),19.2,18.521215079365078
36,scientific_skills_composite (-3.37),svt_avg_grade (-0.67),energy_block (-0.48),immunology (+0.13),immune_block (+0.09),energy_respiration (+0.06),8.2,7.81988333333333
37,scientific_skills_composite (-1.95),energy_block (-0.63),svt_grade_t3 (-0.21),molecular_biology (+0.22),molecular_block (+0.20),hypothesis_formulation (+0.05),9.7,10.37094678129486
38,energy_block (-0.37),psychological_health (-0.24),svt_anxiety (-0.17),scientific_skills_composite (+0.59),svt_avg_grade (+0.29),svt_grade_t2 (+0.11),15.0,13.806325724805001
39,energy_block (-0.37),svt_anxiety (-0.19),molecular_biology (-0.17),scientific_skills_composite (+0.70),immunology (+0.22),immune_block (+0.17),13.3,13.629174897080047
40,scientific_skills_composite (-1.60),immunology (-0.09),neuroscience (-0.06),svt_avg_grade (+0.42),svt_grade_t3 (+0.25),psychological_health (+0.18),18.0,13.39754079290592
41,psychological_health (-0.14),svt_grade_t2 (-0.12),energy_respiration (-0.04),scientific_skills_composite (+0.56),immunology (+0.27),immune_block (+0.18),14.3,14.590957949354282
42,practice_intensity (-0.11),svt_avg_grade (-0.11),svt_grade_t1 (-0.07),scientific_skills_composite (+0.59),psychological_health (+0.17),svt_anxiety (+0.08),13.5,14.216361831057451
43,geology_block (-0.03),stream_encoded (-0.01),None,scientific_skills_composite (+2.16),svt_avg_grade (+0.44),energy_block (+0.32),19.9,18.78054166666666
44,scientific_writing_confidence (-0.08),geology_block (-0.01),stream_encoded (-0.01),scientific_skills_composite (+2.16),svt_avg_grade (+0.47),energy_block (+0.42),17.8,18.798797516641073
45,protein_block (-0.08),svt_grade_t2 (-0.08),protein_enzymes (-0.05),scientific_skills_composite (+0.98),immunology (+0.26),molecular_block (+0.21),16.9,15.674331867057674
