student_id,weakness_1,weakness_2,weakness_3,strength_1,strength_2,strength_3,actual_score,predicted_score
0,exam_preparation (-0.24),narrative_writing (-0.03),oral_tradition_awareness (-0.02),avg_grade (+1.60),grade_t3 (+0.05),event_ordering (+0.05),16.3,14.787112157287163
1,morphology_root_pattern (-0.04),confidence (-0.03),vocabulary_accuracy (-0.02),avg_grade (+1.69),grade_t3 (+0.09),oral_tradition_awareness (+0.06),13.4,15.048251262626263
2,exam_preparation (-0.13),study_hours (-0.05),verb_identification (-0.04),avg_grade (+2.58),stress (+0.08),grade_t3 (+0.03),15.0,15.638252792967267
3,oral_tradition_awareness (-0.06),practice_intensity (-0.02),imbalance_score (-0.01),avg_grade (+0.19),stress (+0.09),grade_t3 (+0.03),15.1,13.529983261183265
4,avg_grade (-2.37),confidence (-0.08),consistency (-0.05),stress (+0.06),motivation (+0.03),synonym_knowledge (+0.02),10.8,10.734677218614713
5,narrative_writing (-0.02),morphology_root_pattern (-0.01),subject_object_analysis (-0.01),avg_grade (+3.11),stress (+0.09),exam_preparation (+0.06),18.0,16.576136523126
6,avg_grade (-1.71),vocabulary_accuracy (-0.05),grade_t3 (-0.02),grade_t1 (+0.21),exam_preparation (+0.03),practice_intensity (+0.03),12.5,11.697601895769285
7,study_hours (-0.13),exam_preparation (-0.04),narrative_writing (-0.03),avg_grade (+3.03),imbalance_score (+0.05),stress (+0.03),15.8,16.29704193548387
8,morphology_root_pattern (-0.06),class_participation (-0.03),study_hours (-0.02),avg_grade (+0.08),imbalance_score (+0.03),subject_object_analysis (+0.03),12.6,13.20268053994726
9,avg_grade (-2.07),grade_t1 (-0.04),stress (-0.01),exam_preparation (+0.09),study_hours (+0.05),imbalance_score (+0.03),11.9,11.28962462121212
10,exam_preparation (-0.14),narrative_writing (-0.03),grade_t2 (-0.02),avg_grade (+0.76),grade_t3 (+0.09),stress (+0.05),14.3,13.923986535695363
11,exam_preparation (-0.12),oral_tradition_awareness (-0.02),practice_intensity (-0.02),avg_grade (+0.64),grade_t2 (+0.02),morphology_root_pattern (+0.02),13.1,13.719716136649962
12,avg_grade (-3.36),grade_t2 (-0.11),study_hours (-0.05),confidence (+0.13),consistency (+0.06),oral_tradition_awareness (+0.05),10.8,9.794
13,avg_grade (-2.73),confidence (-0.12),grade_t2 (-0.06),exam_preparation (+0.07),synonym_knowledge (+0.04),implicit_meaning (+0.03),11.0,10.45159583333333
14,oral_tradition_awareness (-0.04),imbalance_score (-0.03),stress (-0.03),avg_grade (+2.07),exam_preparation (+0.09),study_hours (+0.06),15.8,15.584661815635352
