student_id,weakness_1,weakness_2,weakness_3,strength_1,strength_2,strength_3,actual_score,predicted_score
0,overall_skill_score (-1.73),tech_avg_grade (-0.15),study_hours (-0.03),tech_grade_t3 (+0.15),specialty_exercises_week (+0.09),diagram_interpretation (+0.07),14.3,12.172189833196937
1,overall_skill_score (-1.77),confidence (-0.17),mechanics_rdm (-0.07),tech_grade_t3 (+0.15),study_quality (+0.10),technical_drawing (+0.08),13.5,12.206215624236682
2,tech_avg_grade (-0.47),practice_intensity (-0.09),tech_grade_t1 (-0.07),overall_skill_score (+2.17),problem_solving_composite (+0.79),problem_solving (+0.14),16.6,16.370645454545453
3,overall_skill_score (-0.29),study_hours (-0.06),specialty_exercises_week (-0.05),problem_solving_composite (+0.60),tech_avg_grade (+0.29),problem_solving (+0.16),16.3,14.712791591068957
4,overall_skill_score (-1.21),tech_avg_grade (-0.17),confidence (-0.04),tech_grade_t3 (+0.11),technical_drawing (+0.10),study_quality (+0.10),12.7,12.818247606218764
5,problem_solving_composite (-0.34),overall_skill_score (-0.21),practice_intensity (-0.07),tech_avg_grade (+0.62),tech_grade_t3 (+0.33),tech_grade_t1 (+0.16),17.6,14.511059808762056
6,overall_skill_score (-1.67),problem_solving_composite (-0.74),practice_intensity (-0.28),tech_grade_t3 (+0.10),tech_grade_t1 (+0.06),study_quality (+0.04),10.7,10.678384386285494
7,study_hours (-0.09),problem_solving (-0.09),confidence (-0.04),overall_skill_score (+2.13),tech_avg_grade (+0.94),practice_intensity (+0.28),18.1,17.604011172161176
8,overall_skill_score (-1.91),psychological_health (-0.17),tech_avg_grade (-0.11),problem_solving_composite (+0.33),tech_grade_t3 (+0.20),practice_intensity (+0.18),10.9,12.11928659378256
9,overall_skill_score (-1.58),problem_solving_composite (-0.51),tech_avg_grade (-0.45),correction_quality (+0.12),study_quality (+0.11),tech_grade_t3 (+0.10),11.4,10.915205209666341
10,practice_intensity (-0.10),exam_prep_score (-0.05),bac_exams_practiced (-0.05),overall_skill_score (+1.69),tech_avg_grade (+0.80),problem_solving_composite (+0.50),15.7,16.95288134920635
11,overall_skill_score (-2.53),tech_grade_t3 (-0.92),problem_solving_composite (-0.79),technical_drawing (+0.18),focus_concentration (+0.07),correction_quality (+0.01),8.0,7.730000000000005
12,technical_drawing (-0.15),tech_anxiety (-0.11),tech_trend (-0.01),overall_skill_score (+1.64),problem_solving_composite (+0.75),tech_avg_grade (+0.74),18.3,17.860033333333337
13,overall_skill_score (-2.55),tech_grade_t3 (-0.78),problem_solving_composite (-0.71),technical_drawing (+0.02),diagram_interpretation (+0.01),lab_access (+0.00),6.2,7.5602857142857225
14,focus_concentration (-0.09),tech_grade_t2 (-0.07),tech_avg_grade (-0.05),overall_skill_score (+2.23),problem_solving_composite (+0.83),correction_quality (+0.18),19.5,17.297174025974023
15,overall_skill_score (-1.95),problem_solving_composite (-0.81),tech_avg_grade (-0.39),tech_grade_t3 (+0.14),focus_concentration (+0.06),practice_intensity (+0.05),9.4,9.435937106918233
16,overall_skill_score (-1.23),tech_avg_grade (-0.19),study_quality (-0.16),tech_grade_t3 (+0.17),focus_concentration (+0.05),technical_drawing (+0.04),13.7,11.979517330547035
17,problem_solving_composite (-0.18),tech_avg_grade (-0.17),diagram_interpretation (-0.06),overall_skill_score (+1.83),problem_solving (+0.12),tech_trend (+0.09),15.8,15.521834942416078
18,overall_skill_score (-0.15),practice_intensity (-0.11),problem_solving (-0.04),problem_solving_composite (+0.87),tech_avg_grade (+0.70),tech_grade_t3 (+0.25),15.5,15.378261103229645
19,problem_solving_composite (-0.26),problem_solving (-0.07),tech_grade_t2 (-0.06),overall_skill_score (+2.25),tech_avg_grade (+0.67),practice_intensity (+0.13),18.4,16.713932900432898
