student_id,gender,region,filiere,reason_for_choice,is_repeater,brevet_avg,brevet_math,brevet_physics,brevet_science,brevet_arabic,brevet_langues,brevet_hfada,as1_avg_global,as1_math,as1_physics,as1_science,as1_arabic,as1_langues,as1_language_avg,as1_hfada,as2_avg_global,as2_math,as2_physics,as2_science,as2_arabic,as2_langues,as2_language_avg,as2_hfada,weekly_study_hours,study_consistency,time_essential_subjects,time_non_essential_subjects,private_tutoring_hours,exam_anxiety,health_state,family_support_score,learning_style,comprehension_speed,focus_level,weak_math,weak_physics,weak_science,weak_arabic,weak_langues,weak_hfada,problem_solving_gap,sleep_hours,stress_level,bac_avg,bac_mention,study_efficiency,grinder_index,time_allocation_ratio,resource_reliance,improvement_momentum,grade_volatility,stress_performance_ratio,sleep_debt,health_stress_index,family_support_strength,weakness_count,subject_balance,filiere_alignment,consistent_weak,efficient_stressed,repeater_penalty,kabylie_boost
780,M,bejaia,techniques_maths,parents,0,13.73,14.75,12.91,14.66,13.47,14.19,12.39,13.04,13.88,11.94,13.62,13.17,13.29,13.23,12.34,13.25,13.92,12.27,13.73,13.34,13.37,13.36,12.85,16,0.51,8,8,2,4,3,3,reading_writing,2,4,0.07,0.18,0.08,0.11,0.11,0.14,0.13,8,4,13.44,assez_bien,0.83,17.12,0.99,0.12,0.21,0.57,0.3,0,12,0.6,0,0.57,0.67,0.0,0.25,0,1
781,F,tlemcen,techniques_maths,academic_guidance,0,10.04,10.0,10.0,10.0,10.0,10.0,10.23,8.13,7.57,7.64,8.56,7.76,7.99,7.88,9.25,8.75,8.0,8.24,9.2,8.54,9.09,8.81,9.42,32,0.43,8,24,0,5,2,3,practice_based,3,5,0.47,0.45,0.39,0.43,0.39,0.37,0.46,6,4,8.9,echec,0.28,84.84,0.33,0.0,0.62,0.47,0.56,2,16,0.6,0,0.47,0.42,0.0,0.15,0,0
782,M,annaba,techniques_maths,interest,0,10.69,10.64,10.72,11.15,11.46,10.16,10.0,9.81,9.78,9.68,10.34,10.62,8.95,9.78,9.51,10.4,10.6,10.77,10.3,10.76,9.9,10.33,10.07,28,0.37,12,16,2,4,2,2,practice_based,3,2,0.29,0.28,0.31,0.28,0.34,0.33,0.29,6,3,10.42,passable,0.37,59.46,0.75,0.07,0.59,0.33,0.38,2,12,0.4,0,0.33,0.53,0.0,0.14,0,0
783,F,tizi_ouzou,techniques_maths,friends,0,11.87,12.69,11.28,12.62,11.27,11.47,11.9,10.9,11.19,10.13,11.57,10.26,10.82,10.54,11.41,11.61,11.95,11.05,11.9,11.27,11.89,11.58,11.58,21,0.34,10,11,0,4,2,3,auditory,3,2,0.2,0.26,0.21,0.25,0.21,0.23,0.23,6,4,11.64,passable,0.55,32.22,0.9,0.0,0.71,0.37,0.34,2,16,0.6,0,0.37,0.58,0.0,0.19,0,1
784,F,constantine,techniques_maths,interest,0,12.1,11.64,12.74,12.24,11.74,12.26,12.01,11.51,11.34,11.34,11.74,11.94,11.77,11.85,10.93,12.04,12.39,12.16,12.04,12.38,12.0,12.19,11.24,14,0.69,11,3,2,4,4,4,practice_based,2,2,0.17,0.19,0.2,0.17,0.2,0.25,0.18,7,3,12.01,assez_bien,0.85,14.71,3.55,0.14,0.52,0.16,0.33,1,6,0.8,0,0.16,0.61,0.0,0.28,0,0
785,F,algiers,techniques_maths,parents,0,10.12,10.08,10.67,10.0,10.0,10.0,10.0,8.93,9.34,9.27,9.17,8.5,8.43,8.46,8.87,9.33,9.93,9.76,9.4,9.36,8.83,9.09,8.69,24,0.37,19,5,2,3,2,3,auditory,2,4,0.34,0.35,0.37,0.38,0.41,0.42,0.34,6,4,9.29,echec,0.39,49.44,3.73,0.08,0.4,0.38,0.32,2,16,0.6,0,0.38,0.48,0.0,0.12,0,0
786,F,other,techniques_maths,interest,0,14.12,15.26,13.03,14.6,15.19,13.59,13.03,13.1,13.59,12.27,13.21,13.97,12.7,13.34,12.85,13.24,13.58,13.06,13.26,13.27,13.14,13.21,13.16,18,0.57,18,0,0,3,4,4,practice_based,2,2,0.09,0.13,0.12,0.12,0.12,0.12,0.11,7,4,13.38,assez_bien,0.74,21.44,180.0,0.0,0.14,0.18,0.22,1,8,0.8,0,0.18,0.66,0.0,0.16,0,0
787,F,bejaia,techniques_maths,interest,0,12.44,11.46,12.8,13.16,12.55,11.03,13.61,11.7,10.5,11.67,12.52,12.19,10.74,11.47,12.57,11.65,10.41,12.14,12.37,12.15,11.22,11.68,11.62,21,0.37,13,8,2,4,3,2,visual,2,3,0.31,0.19,0.18,0.19,0.25,0.23,0.25,6,4,11.47,passable,0.54,32.63,1.6,0.09,-0.05,0.74,0.35,2,12,0.4,0,0.74,0.58,0.0,0.19,0,1
788,M,other,techniques_maths,academic_guidance,0,10.38,10.0,10.46,10.86,10.0,10.0,10.97,8.98,8.66,8.97,9.38,8.88,8.08,8.48,9.9,9.34,9.35,9.53,8.94,9.68,8.92,9.3,9.62,27,0.49,17,10,2,3,3,2,visual,2,2,0.38,0.36,0.4,0.35,0.41,0.36,0.37,5,4,9.5,echec,0.35,59.9,1.68,0.07,0.36,0.31,0.31,3,12,0.4,0,0.31,0.46,0.0,0.11,0,0
789,M,setif,techniques_maths,parents,0,10.71,10.0,11.86,10.46,11.53,10.0,10.41,9.34,9.03,9.69,8.62,10.68,8.99,9.83,9.03,9.84,9.88,10.41,9.24,10.25,9.87,10.06,9.4,20,0.34,15,5,8,3,3,3,visual,1,2,0.34,0.31,0.38,0.32,0.34,0.37,0.32,5,3,9.94,echec,0.49,33.65,2.94,0.4,0.5,0.4,0.3,3,9,0.6,0,0.4,0.49,0.0,0.15,0,0
790,M,setif,techniques_maths,grades_pressure,1,10.39,10.63,10.0,11.45,10.0,10.0,10.27,9.13,9.56,9.24,9.94,7.91,8.76,8.34,9.39,9.36,9.23,9.71,9.94,8.87,9.08,8.98,9.3,30,0.54,9,21,4,3,2,2,auditory,3,2,0.38,0.35,0.34,0.41,0.39,0.38,0.37,6,5,9.2,passable,0.31,73.94,0.43,0.13,0.22,0.4,0.32,2,20,0.4,0,0.4,0.48,0.0,0.1,1,0
791,F,annaba,techniques_maths,interest,0,11.15,10.32,11.39,11.81,10.46,12.4,10.54,10.2,9.3,9.93,10.44,9.66,11.74,10.7,10.15,10.58,9.95,10.71,10.84,10.36,11.3,10.83,10.35,33,0.38,10,23,0,3,2,2,reading_writing,2,1,0.34,0.29,0.28,0.31,0.25,0.31,0.31,6,4,10.48,passable,0.32,79.22,0.43,0.0,0.38,0.45,0.28,2,16,0.4,0,0.45,0.52,0.0,0.09,0,0
