student_id,gender,region,filiere,reason_for_choice,is_repeater,brevet_avg,brevet_math,brevet_physics,brevet_science,brevet_arabic,brevet_langues,brevet_hfada,as1_avg_global,as1_math,as1_physics,as1_science,as1_arabic,as1_langues,as1_language_avg,as1_hfada,as2_avg_global,as2_math,as2_physics,as2_science,as2_arabic,as2_langues,as2_language_avg,as2_hfada,weekly_study_hours,study_consistency,time_essential_subjects,time_non_essential_subjects,private_tutoring_hours,exam_anxiety,health_state,family_support_score,learning_style,comprehension_speed,focus_level,weak_math,weak_physics,weak_science,weak_arabic,weak_langues,weak_hfada,problem_solving_gap,sleep_hours,stress_level,bac_avg,bac_mention,study_efficiency,grinder_index,time_allocation_ratio,resource_reliance,improvement_momentum,grade_volatility,stress_performance_ratio,sleep_debt,health_stress_index,family_support_strength,weakness_count,subject_balance,filiere_alignment,consistent_weak,efficient_stressed,repeater_penalty,kabylie_boost
945,M,bejaia,gestion_economie,parents,0,13.23,14.25,12.41,14.16,12.97,13.69,11.89,12.54,13.38,11.44,13.12,12.67,12.79,12.73,11.84,12.75,13.42,11.77,13.23,12.84,12.87,12.86,12.35,16,0.51,8,8,2,4,3,3,reading_writing,2,4,0.11,0.22,0.12,0.14,0.14,0.18,0.16,8,4,12.94,assez_bien,0.8,17.71,0.99,0.12,0.21,0.57,0.31,0,12,0.6,0,0.57,0.64,0.0,0.25,0,1
946,F,tlemcen,gestion_economie,academic_guidance,0,10.07,10.0,10.0,10.0,10.0,10.0,10.42,8.31,7.75,7.82,8.74,7.94,8.18,8.06,9.43,8.93,8.18,8.43,9.39,8.72,9.27,9.0,9.6,32,0.43,8,24,0,5,2,3,practice_based,3,5,0.45,0.44,0.37,0.42,0.38,0.36,0.45,6,4,9.08,echec,0.28,83.57,0.33,0.0,0.62,0.47,0.54,2,16,0.6,0,0.47,0.44,0.0,0.15,0,0
947,M,annaba,gestion_economie,interest,0,10.63,10.57,10.65,11.08,11.39,10.09,10.0,9.74,9.71,9.61,10.27,10.55,8.88,9.71,9.44,10.33,10.53,10.7,10.23,10.69,9.83,10.26,10.0,28,0.37,12,16,2,4,2,2,practice_based,3,2,0.3,0.29,0.32,0.29,0.34,0.33,0.29,6,3,10.35,passable,0.37,59.78,0.75,0.07,0.59,0.33,0.38,2,12,0.4,0,0.33,0.52,0.0,0.14,0,0
948,F,tizi_ouzou,gestion_economie,friends,0,11.73,12.55,11.14,12.48,11.13,11.33,11.76,10.76,11.05,9.99,11.43,10.12,10.68,10.4,11.27,11.47,11.81,10.91,11.76,11.13,11.75,11.44,11.44,21,0.34,10,11,0,4,2,3,auditory,3,2,0.21,0.27,0.22,0.26,0.22,0.24,0.24,6,4,11.5,passable,0.55,32.56,0.9,0.0,0.71,0.37,0.34,2,16,0.6,0,0.37,0.57,0.0,0.19,0,1
949,F,constantine,gestion_economie,interest,0,11.6,11.14,12.24,11.74,11.24,11.76,11.51,11.01,10.84,10.84,11.24,11.44,11.27,11.35,10.43,11.54,11.89,11.66,11.54,11.88,11.5,11.69,10.74,14,0.69,11,3,2,4,4,4,practice_based,2,2,0.21,0.22,0.23,0.21,0.23,0.28,0.21,7,3,11.51,passable,0.82,15.28,3.55,0.14,0.52,0.16,0.34,1,6,0.8,0,0.16,0.58,0.0,0.28,0,0
950,F,algiers,gestion_economie,parents,0,10.16,10.19,10.79,10.0,10.0,10.0,10.0,9.05,9.46,9.39,9.29,8.62,8.54,8.58,8.99,9.45,10.05,9.88,9.52,9.48,8.95,9.21,8.81,24,0.37,19,5,2,3,2,3,auditory,2,4,0.33,0.34,0.37,0.37,0.4,0.41,0.34,6,4,9.41,echec,0.39,48.94,3.73,0.08,0.4,0.38,0.32,2,16,0.6,0,0.38,0.48,0.0,0.12,0,0
951,F,other,gestion_economie,interest,0,11.77,11.62,11.72,13.78,11.38,11.5,10.65,10.82,10.51,11.04,12.12,10.55,10.91,10.73,9.82,10.9,11.08,10.77,11.78,10.87,10.51,10.69,10.36,20,0.37,12,8,0,4,3,3,auditory,3,2,0.26,0.28,0.21,0.28,0.3,0.31,0.27,6,5,10.88,passable,0.54,31.18,1.48,0.0,0.07,0.43,0.36,2,15,0.6,0,0.43,0.55,0.0,0.2,0,0
952,M,oran,gestion_economie,grades_pressure,0,10.36,10.0,10.0,10.0,10.72,11.45,10.0,9.02,9.08,7.85,8.59,9.67,10.06,9.87,8.86,9.8,10.06,9.09,9.91,10.25,10.13,10.19,9.38,34,0.5,13,21,4,3,3,3,reading_writing,3,3,0.33,0.39,0.34,0.32,0.32,0.37,0.36,6,3,9.82,echec,0.29,87.62,0.62,0.12,0.78,0.41,0.3,2,9,0.6,0,0.41,0.5,0.0,0.09,0,0
953,F,bejaia,gestion_economie,interest,1,10.49,11.38,10.0,11.36,10.0,10.17,10.0,9.24,9.49,9.06,10.31,8.48,8.88,8.68,9.23,9.68,9.88,8.79,10.52,9.64,9.76,9.7,9.49,30,0.55,16,14,6,4,3,3,auditory,3,2,0.34,0.41,0.3,0.36,0.35,0.37,0.38,5,4,9.76,echec,0.32,70.69,1.13,0.2,0.44,0.55,0.41,3,12,0.6,0,0.55,0.49,0.0,0.13,1,1
954,F,oran,gestion_economie,parents,0,10.19,10.0,11.12,10.0,10.01,10.0,10.0,9.0,8.12,9.92,8.88,9.4,8.99,9.19,8.72,9.52,9.68,10.03,9.66,9.27,9.29,9.28,9.21,33,0.41,14,19,0,3,3,2,auditory,2,4,0.35,0.33,0.36,0.38,0.38,0.39,0.34,5,3,9.32,echec,0.28,86.47,0.73,0.0,0.52,0.28,0.32,3,9,0.4,0,0.28,0.48,0.0,0.09,0,0
955,F,algiers,gestion_economie,parents,0,10.38,11.33,10.0,10.3,10.0,10.6,10.04,9.71,10.68,10.0,8.9,9.49,9.36,9.43,9.84,10.16,10.34,10.65,10.49,9.53,9.92,9.73,10.02,23,0.31,7,16,4,4,2,3,reading_writing,4,2,0.31,0.29,0.3,0.36,0.34,0.33,0.3,5,4,9.88,echec,0.43,43.6,0.43,0.17,0.45,0.41,0.4,3,16,0.6,0,0.41,0.51,0.0,0.17,0,0
956,M,setif,gestion_economie,friends,0,10.24,10.31,10.0,10.78,10.33,10.0,10.0,9.22,9.53,8.78,9.44,9.83,9.28,9.55,8.49,9.73,9.74,9.33,9.82,10.55,9.61,10.08,9.34,31,0.32,13,18,2,4,2,2,practice_based,2,5,0.35,0.38,0.35,0.3,0.36,0.38,0.36,5,3,9.76,echec,0.31,74.9,0.72,0.06,0.51,0.41,0.41,3,12,0.4,0,0.41,0.49,0.0,0.13,0,0
957,F,tizi_ouzou,gestion_economie,academic_guidance,0,10.94,11.38,11.1,10.13,10.94,11.45,10.63,9.86,9.89,9.68,9.24,10.34,10.59,10.47,9.45,10.2,10.19,9.99,9.68,10.76,10.26,10.51,10.35,22,0.39,14,8,8,4,3,2,visual,1,2,0.32,0.33,0.35,0.28,0.32,0.31,0.33,5,4,10.28,echec,0.47,38.92,1.73,0.36,0.34,0.36,0.39,3,12,0.4,0,0.36,0.51,0.0,0.18,0,1
958,M,setif,gestion_economie,friends,1,11.68,12.2,11.05,10.79,11.95,11.68,12.38,10.79,10.81,10.39,10.15,11.03,11.01,11.02,11.34,11.43,11.37,11.26,11.89,11.43,11.47,11.45,11.17,13,0.65,11,2,0,2,4,4,auditory,3,2,0.24,0.25,0.21,0.24,0.24,0.26,0.25,7,3,11.33,assez_bien,0.86,13.47,5.24,0.0,0.64,0.22,0.17,1,6,0.8,0,0.22,0.57,0.0,0.15,1,0
959,M,algiers,gestion_economie,grades_pressure,0,10.57,10.0,10.37,11.29,10.0,10.97,10.79,9.35,8.83,9.21,9.8,8.53,10.12,9.32,9.59,9.73,9.95,9.63,9.29,9.58,9.91,9.74,10.06,27,0.36,12,15,2,3,3,3,practice_based,2,1,0.34,0.36,0.38,0.36,0.34,0.33,0.35,6,4,9.76,echec,0.36,58.69,0.79,0.07,0.39,0.24,0.3,2,12,0.6,0,0.24,0.48,0.0,0.11,0,0
960,M,other,gestion_economie,interest,0,12.32,11.79,13.01,13.32,11.69,12.22,11.91,11.64,11.04,12.13,11.92,10.96,12.11,11.54,11.67,12.0,11.5,12.06,12.44,11.84,11.91,11.87,12.26,20,0.72,7,13,0,3,3,3,practice_based,2,1,0.23,0.2,0.17,0.21,0.21,0.18,0.21,8,3,11.94,passable,0.59,28.82,0.53,0.0,0.36,0.31,0.25,0,9,0.6,0,0.31,0.6,0.0,0.15,0,0
961,M,bejaia,gestion_economie,parents,0,11.32,11.15,12.17,10.5,12.65,10.93,10.53,10.32,10.93,10.76,9.69,11.33,9.7,10.51,9.49,11.03,11.79,10.95,11.37,11.41,10.05,10.73,10.61,24,0.42,7,17,6,4,2,2,reading_writing,2,2,0.21,0.27,0.24,0.24,0.33,0.29,0.24,6,4,10.92,passable,0.45,43.4,0.41,0.25,0.71,0.6,0.36,2,16,0.4,0,0.6,0.55,0.0,0.16,0,1
962,F,tlemcen,gestion_economie,interest,0,10.88,11.14,11.19,11.33,10.22,10.46,10.91,10.13,10.71,10.69,9.82,9.97,9.85,9.91,9.73,10.58,10.93,11.02,9.86,10.32,10.11,10.21,11.25,34,0.49,18,16,2,5,3,2,reading_writing,3,2,0.27,0.27,0.34,0.31,0.33,0.25,0.27,7,3,10.51,passable,0.31,83.3,1.12,0.06,0.45,0.45,0.47,1,9,0.4,0,0.45,0.52,0.0,0.15,0,0
963,M,setif,gestion_economie,interest,0,11.04,10.52,10.84,12.81,10.91,11.15,10.0,9.8,9.15,9.1,11.04,10.09,10.21,10.15,9.18,10.22,10.32,10.23,10.23,9.92,11.03,10.48,9.61,21,0.54,14,7,2,5,2,2,auditory,3,1,0.31,0.32,0.32,0.34,0.26,0.36,0.31,6,4,10.12,passable,0.48,36.24,1.97,0.09,0.43,0.37,0.49,2,16,0.4,0,0.37,0.52,0.0,0.23,0,0
964,M,setif,gestion_economie,interest,0,13.4,14.23,12.89,14.84,13.89,11.8,12.74,12.71,13.9,11.93,13.23,13.6,11.3,12.45,12.28,13.21,13.74,12.34,13.79,13.28,12.29,12.79,13.82,21,0.61,5,16,2,3,3,3,practice_based,1,3,0.08,0.18,0.08,0.11,0.18,0.08,0.13,6,3,13.3,assez_bien,0.63,28.75,0.31,0.09,0.5,0.66,0.22,2,9,0.6,0,0.66,0.65,0.0,0.14,0,0
965,F,annaba,gestion_economie,friends,0,10.86,10.33,12.87,10.58,10.58,10.47,10.35,9.93,9.76,11.21,9.12,10.32,9.91,10.12,9.26,10.42,10.11,11.34,9.91,10.7,10.88,10.79,9.6,22,0.33,9,13,0,3,3,3,auditory,4,1,0.33,0.24,0.34,0.29,0.27,0.36,0.29,5,4,10.23,passable,0.46,39.08,0.69,0.0,0.49,0.52,0.29,3,12,0.6,0,0.52,0.53,0.0,0.13,0,0
966,F,setif,gestion_economie,interest,1,10.0,10.0,10.0,10.0,10.0,10.0,10.0,8.35,7.46,8.4,8.74,8.69,8.33,8.51,8.46,8.61,7.78,8.79,8.69,8.69,8.94,8.82,8.74,20,0.33,10,10,2,5,3,2,practice_based,3,2,0.48,0.41,0.42,0.42,0.4,0.42,0.45,7,5,8.57,echec,0.43,37.99,0.99,0.1,0.26,0.41,0.58,1,15,0.4,0,0.41,0.43,0.0,0.25,1,0
967,M,setif,gestion_economie,interest,0,10.46,12.17,10.0,10.0,10.0,10.58,10.0,9.11,10.37,7.99,8.48,9.48,9.8,9.64,8.57,9.84,9.87,9.51,9.96,10.4,9.75,10.08,9.55,31,0.48,17,14,8,4,3,2,visual,3,1,0.34,0.37,0.34,0.31,0.35,0.36,0.35,6,3,9.78,echec,0.31,74.81,1.21,0.26,0.73,0.29,0.4,2,9,0.4,0,0.29,0.5,0.0,0.13,0,0
