student_id,gender,region,filiere,reason_for_choice,is_repeater,brevet_avg,brevet_math,brevet_physics,brevet_science,brevet_arabic,brevet_langues,brevet_hfada,as1_avg_global,as1_math,as1_physics,as1_science,as1_arabic,as1_langues,as1_language_avg,as1_hfada,as2_avg_global,as2_math,as2_physics,as2_science,as2_arabic,as2_langues,as2_language_avg,as2_hfada,weekly_study_hours,study_consistency,time_essential_subjects,time_non_essential_subjects,private_tutoring_hours,exam_anxiety,health_state,family_support_score,learning_style,comprehension_speed,focus_level,weak_math,weak_physics,weak_science,weak_arabic,weak_langues,weak_hfada,problem_solving_gap,sleep_hours,stress_level,bac_avg,bac_mention,study_efficiency,grinder_index,time_allocation_ratio,resource_reliance,improvement_momentum,grade_volatility,stress_performance_ratio,sleep_debt,health_stress_index,family_support_strength,weakness_count,subject_balance,filiere_alignment,consistent_weak,efficient_stressed,repeater_penalty,kabylie_boost
1170,M,bejaia,langues_etrangeres,parents,0,12.73,13.75,11.91,13.66,12.47,13.19,11.39,12.04,12.88,10.94,12.62,12.17,12.29,12.23,11.34,12.25,12.92,11.27,12.73,12.34,12.37,12.36,11.85,16,0.51,8,8,2,4,3,3,reading_writing,2,4,0.14,0.25,0.15,0.18,0.18,0.21,0.19,8,4,12.44,passable,0.77,18.34,0.99,0.12,0.21,0.57,0.32,0,12,0.6,0,0.57,0.62,0.0,0.25,0,1
1171,F,tlemcen,langues_etrangeres,academic_guidance,0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,7.63,7.07,7.14,8.06,7.26,7.49,7.38,8.75,8.25,7.5,7.74,8.7,8.04,8.59,8.31,8.92,32,0.43,8,24,0,5,2,3,practice_based,3,4,0.5,0.48,0.42,0.46,0.43,0.41,0.49,6,4,8.4,echec,0.26,88.49,0.33,0.0,0.62,0.47,0.59,2,16,0.6,0,0.47,0.42,0.0,0.15,0,0
1172,M,annaba,langues_etrangeres,interest,0,10.33,10.14,10.22,10.65,10.96,10.0,10.0,9.31,9.28,9.18,9.84,10.12,8.45,9.28,9.01,9.9,10.1,10.27,9.8,10.26,9.4,9.83,9.57,28,0.37,12,16,2,4,2,2,practice_based,3,2,0.33,0.32,0.35,0.32,0.37,0.36,0.32,6,3,9.92,echec,0.35,61.79,0.75,0.07,0.59,0.33,0.4,2,12,0.4,0,0.33,0.49,0.0,0.14,0,0
1173,F,tizi_ouzou,langues_etrangeres,friends,0,11.37,12.19,10.78,12.12,10.77,10.97,11.4,10.4,10.69,9.63,11.07,9.76,10.32,10.04,10.91,11.11,11.45,10.55,11.4,10.77,11.39,11.08,11.08,21,0.34,10,11,0,4,2,3,auditory,3,2,0.24,0.3,0.24,0.28,0.24,0.26,0.27,6,4,11.14,passable,0.53,33.44,0.9,0.0,0.71,0.37,0.36,2,16,0.6,0,0.37,0.55,0.0,0.19,0,1
1174,F,constantine,langues_etrangeres,interest,0,11.1,10.64,11.74,11.24,10.74,11.26,11.01,10.51,10.34,10.34,10.74,10.94,10.77,10.85,9.93,11.04,11.39,11.16,11.04,11.38,11.0,11.19,10.24,14,0.69,11,3,2,4,4,4,practice_based,2,2,0.24,0.26,0.26,0.24,0.27,0.32,0.25,7,3,11.01,passable,0.78,15.89,3.55,0.14,0.52,0.16,0.36,1,6,0.8,0,0.16,0.56,0.0,0.28,0,0
1175,F,algiers,langues_etrangeres,parents,0,10.03,10.0,10.17,10.0,10.0,10.0,10.0,8.43,8.84,8.77,8.67,8.0,7.93,7.96,8.37,8.83,9.43,9.26,8.9,8.86,8.33,8.59,8.19,24,0.37,19,5,2,3,2,3,auditory,1,4,0.37,0.38,0.41,0.41,0.44,0.45,0.38,6,4,8.79,echec,0.36,51.64,3.73,0.08,0.4,0.38,0.34,2,16,0.6,0,0.38,0.43,0.0,0.12,0,0
1176,F,other,langues_etrangeres,interest,0,13.12,14.26,12.03,13.6,14.19,12.59,12.03,12.1,12.59,11.27,12.21,12.97,11.7,12.34,11.85,12.24,12.58,12.06,12.26,12.27,12.14,12.21,12.16,18,0.57,18,0,0,3,4,4,practice_based,2,1,0.16,0.2,0.18,0.18,0.19,0.19,0.18,7,4,12.38,assez_bien,0.68,22.96,180.0,0.0,0.14,0.18,0.24,1,8,0.8,0,0.18,0.61,0.0,0.16,0,0
1177,F,bejaia,langues_etrangeres,interest,0,11.94,10.96,12.3,12.66,12.05,10.53,13.11,11.2,10.0,11.17,12.02,11.69,10.24,10.97,12.07,11.15,9.91,11.64,11.87,11.65,10.72,11.18,11.12,21,0.37,13,8,2,4,3,2,visual,2,3,0.34,0.22,0.21,0.22,0.29,0.26,0.28,6,4,10.97,passable,0.52,33.88,1.6,0.09,-0.05,0.74,0.36,2,12,0.4,0,0.74,0.56,0.0,0.19,0,1
1178,M,other,langues_etrangeres,academic_guidance,0,10.14,10.0,10.0,10.36,10.0,10.0,10.47,8.48,8.16,8.47,8.88,8.38,7.58,7.98,9.4,8.84,8.85,9.03,8.44,9.18,8.42,8.8,9.12,27,0.49,17,10,2,3,3,2,visual,2,2,0.41,0.4,0.44,0.39,0.44,0.39,0.4,5,4,9.0,echec,0.33,62.46,1.68,0.07,0.36,0.31,0.33,3,12,0.4,0,0.31,0.44,0.0,0.11,0,0
1179,M,setif,langues_etrangeres,parents,0,10.4,10.0,11.36,10.0,11.03,10.0,10.0,8.84,8.53,9.19,8.12,10.18,8.49,9.33,8.53,9.34,9.38,9.91,8.74,9.75,9.37,9.56,8.9,20,0.34,15,5,8,3,3,3,visual,1,1,0.37,0.34,0.42,0.35,0.38,0.41,0.36,5,3,9.44,echec,0.47,35.12,2.94,0.4,0.5,0.4,0.31,3,9,0.6,0,0.4,0.48,0.0,0.15,0,0
